Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 71 yards, returned by Leon Washington for 19 yards (tackle by Cedric Peerman)",0.000,0.320
1,14:56,1,10,NWE 13,0,0,LeGarrette Blount left tackle for 4 yards (tackle by Wallace Gilberry),-0.320,-0.300
1,14:29,2,6,NWE 17,0,0,Tom Brady sacked by Geno Atkins for -8 yards,-0.300,-1.890
1,13:49,3,14,NWE 9,0,0,Tom Brady pass complete short left to Brandon Bolden for 6 yards (tackle by Vontaze Burfict),-1.890,-2.440
1,13:21,4,8,NWE 15,0,0,"Ryan Allen punts 53 yards, returned by Adam Jones for 3 yards (tackle by Dane Fletcher). Penalty on Dre Kirkpatrick: Offensive Holding, 10 yards",-2.440,-0.410
1,13:07,1,10,CIN 22,0,0,BenJarvus Green-Ellis right guard for 13 yards (tackle by Steve Gregory),0.410,1.270
1,12:36,1,10,CIN 35,0,0,BenJarvus Green-Ellis right tackle for 2 yards (tackle by Joe Vellano and Brandon Spikes),1.270,0.990
1,12:05,2,8,CIN 37,0,0,BenJarvus Green-Ellis left guard for 4 yards (tackle by Brandon Spikes),0.990,0.830
1,11:30,3,4,CIN 41,0,0,BenJarvus Green-Ellis right guard for 3 yards (tackle by Jerod Mayo),0.830,-0.460
1,10:52,4,1,CIN 44,0,0,"Kevin Huber punts 52 yards, returned by Julian Edelman for 10 yards (tackle by Marvin Jones)",-0.460,0.280
1,10:39,1,10,NWE 14,0,0,LeGarrette Blount left guard for 2 yards (tackle by Geno Atkins and Carlos Dunlap),-0.280,-0.510
1,10:05,2,8,NWE 16,0,0,Tom Brady pass complete short middle to Kenbrell Thompkins for 6 yards (tackle by Rey Maualuga),-0.510,-0.440
1,9:27,3,2,NWE 22,0,0,Tom Brady sacked by Wallace Gilberry for -8 yards,-0.440,-2.470
1,9:02,4,10,NWE 14,0,0,"Ryan Allen punts 49 yards, returned by Adam Jones for 10 yards (tackle by Danny Aiken)",-2.470,-2.060
1,8:51,1,10,CIN 47,0,0,Giovani Bernard left end for -2 yards (tackle by Brandon Spikes),2.060,1.250
1,8:10,2,12,CIN 45,0,0,Andy Dalton sacked by Chandler Jones and Rob Ninkovich for -8 yards. Penalty on Andrew Whitworth: Offensive Holding (Declined),1.250,-0.490
1,7:47,3,20,CIN 37,0,0,Andy Dalton pass complete short right to Jermaine Gresham for 6 yards (tackle by Kyle Arrington),-0.490,-0.520
1,7:21,4,14,CIN 43,0,0,"Kevin Huber punts 45 yards, out of bounds",-0.520,0.350
1,7:14,1,10,NWE 12,0,0,LeGarrette Blount right guard for 10 yards (tackle by George Iloka and Chris Crocker),-0.350,0.410
1,6:38,1,10,NWE 22,0,0,LeGarrette Blount left guard for 7 yards (tackle by Vontaze Burfict),0.410,0.810
1,6:01,2,3,NWE 29,0,0,Tom Brady pass complete short left to Kenbrell Thompkins for 5 yards (tackle by Adam Jones),0.810,1.200
1,5:30,1,10,NWE 34,0,0,Tom Brady pass incomplete short right intended for Brandon Bolden,1.200,0.660
1,5:24,2,10,NWE 34,0,0,Brandon Bolden for 3 yards (tackle by Geno Atkins and Domata Peko),0.660,0.370
1,4:39,3,7,NWE 37,0,0,Tom Brady pass incomplete short middle intended for Julian Edelman,0.370,-0.910
1,4:33,4,7,NWE 37,0,0,"Ryan Allen punts 44 yards, out of bounds",-0.910,-0.150
1,4:24,1,10,CIN 19,0,0,Andy Dalton pass complete short left to Tyler Eifert for 11 yards (tackle by Devin McCourty),0.150,0.940
1,4:09,1,10,CIN 30,0,0,Andy Dalton right end for 9 yards (tackle by Devin McCourty),0.940,1.610
1,3:33,2,1,CIN 39,0,0,BenJarvus Green-Ellis right tackle for 2 yards (tackle by Brandon Spikes),1.610,1.660
1,2:54,1,10,CIN 41,0,0,Andy Dalton pass complete deep middle to Jermaine Gresham for 12 yards (tackle by Aqib Talib),1.660,2.460
1,2:12,1,10,NWE 47,0,0,Andy Dalton pass complete short middle to Tyler Eifert for 22 yards (tackle by Devin McCourty and Jerod Mayo),2.460,3.910
1,1:37,1,10,NWE 25,0,0,BenJarvus Green-Ellis right tackle for 13 yards (tackle by Devin McCourty and Duron Harmon),3.910,4.780
1,0:52,1,10,NWE 12,0,0,Giovani Bernard for 3 yards (tackle by Jerod Mayo and Brandon Spikes),4.780,4.640
1,0:12,2,7,NWE 9,0,0,Andy Dalton pass incomplete short middle intended for Tyler Eifert is intercepted by Brandon Spikes at NWE-5 and returned for 3 yards (tackle by Tyler Eifert),4.640,0.380
Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 8,0,0,Tom Brady pass complete short right to Danny Amendola for 7 yards (tackle by Vontaze Burfict),-0.380,-0.210
2,14:20,2,3,NWE 15,0,0,LeGarrette Blount left guard for no gain (tackle by Carlos Dunlap),-0.210,-0.600
2,13:37,3,3,NWE 15,0,0,Tom Brady pass complete short right to Brandon Bolden for 14 yards (tackle by Taylor Mays),-0.600,0.870
2,13:07,1,10,NWE 29,0,0,LeGarrette Blount left guard for 4 yards (tackle by Vontaze Burfict and Geno Atkins),0.870,0.870
2,12:30,2,6,NWE 33,0,0,Julian Edelman left end for 7 yards (tackle by Rey Maualuga),0.870,1.600
2,12:00,1,10,NWE 40,0,0,Tom Brady pass incomplete deep left intended for Julian Edelman,1.600,1.050
2,11:53,2,10,NWE 40,0,0,LeGarrette Blount left end for 3 yards (tackle by George Iloka and James Harrison),1.050,0.760
2,11:07,3,7,NWE 43,0,0,Tom Brady pass incomplete deep right intended for Danny Amendola,0.760,-0.520
2,11:07,4,7,NWE 43,0,0,"Ryan Allen punts 42 yards, returned by Brandon Tate for 7 yards (tackle by Dane Fletcher)",-0.520,-0.410
2,10:57,1,10,CIN 22,0,0,Andy Dalton pass complete short right to Jermaine Gresham for 4 yards (tackle by Devin McCourty),0.410,0.410
2,10:24,2,6,CIN 26,0,0,Giovani Bernard left end for no gain (tackle by Brandon Spikes and Chandler Jones),0.410,-0.290
2,9:44,3,6,CIN 26,0,0,Andy Dalton pass complete short right to Giovani Bernard for 1 yard (tackle by Jerod Mayo),-0.290,-1.570
2,9:13,4,5,CIN 27,0,0,"Kevin Huber punts 35 yards, muffed catch by Julian Edelman, recovered by Julian Edelman and returned for no gain. Penalty on Chris Lewis-Harris: Player Out of Bounds on Punt, 5 yards",-1.570,-1.990
2,9:03,1,10,NWE 46,0,0,LeGarrette Blount left guard for 5 yards (tackle by Vontaze Burfict),1.990,2.130
2,8:32,2,5,CIN 49,0,0,"Tom Brady pass complete short right to Michael Hoomanawanui for 2 yards (tackle by Carlos Dunlap). Penalty on Carlos Dunlap: Horse Collar Tackle, 15 yards",2.130,3.450
2,8:08,1,10,CIN 32,0,0,Tom Brady pass incomplete deep middle intended for Michael Hoomanawanui,3.450,2.900
2,8:02,2,10,CIN 32,0,0,"LeGarrette Blount left tackle for 7 yards (tackle by Carlos Dunlap). LeGarrette Blount fumbles (forced by Carlos Dunlap), recovered by Reggie Nelson at CIN-24 and returned for 6 yards (tackle by Sebastian Vollmer)",2.900,-0.940
2,7:54,1,10,CIN 30,0,0,Marvin Jones left end for 8 yards (tackle by Chandler Jones),0.940,1.470
2,7:21,2,2,CIN 38,0,0,BenJarvus Green-Ellis right tackle for -3 yards (tackle by Brandon Spikes),1.470,0.370
2,6:44,3,5,CIN 35,0,0,Andy Dalton pass complete short left to A.J. Green for 18 yards,0.370,2.460
2,6:15,1,10,NWE 47,0,0,Andy Dalton pass incomplete short right intended for BenJarvus Green-Ellis,2.460,1.910
2,6:08,2,10,NWE 47,0,0,Andy Dalton pass complete short middle to A.J. Green for 11 yards (tackle by Aqib Talib),1.910,3.180
2,5:33,1,10,NWE 36,0,0,Andy Dalton pass complete short middle to Marvin Jones for 11 yards (tackle by Kyle Arrington),3.180,3.910
2,5:01,1,10,NWE 25,0,0,Giovani Bernard right guard for 2 yards (tackle by Jerod Mayo),3.910,3.630
2,4:27,2,8,NWE 23,0,0,Andy Dalton sacked by Chris Jones for -9 yards,3.630,1.750
2,3:48,3,17,NWE 32,0,0,Andy Dalton pass complete short right to Mohamed Sanu for 11 yards (tackle by Alfonzo Dennard),1.750,2.080
2,3:17,4,6,NWE 21,0,3,Mike Nugent 39 yard field goal good,2.080,3.000
2,3:17,,,CIN 35,0,3,"Mike Nugent kicks off 69 yards, returned by Devin McCourty for 25 yards (tackle by Orson Charles)",0.000,-0.340
2,3:08,1,10,NWE 21,0,3,Tom Brady pass complete short left to Danny Amendola for 11 yards,0.340,1.070
2,2:41,1,10,NWE 32,0,3,Brandon Bolden left tackle for 8 yards (tackle by Reggie Nelson and Chris Crocker),1.070,1.610
2,2:03,2,2,NWE 40,0,3,Tom Brady pass complete deep left to Julian Edelman for 18 yards (tackle by Adam Jones),1.610,2.790
2,1:57,1,10,CIN 42,0,3,Tom Brady pass incomplete short left intended for Danny Amendola,2.790,2.240
2,1:50,2,10,CIN 42,0,3,Tom Brady pass complete short right to Aaron Dobson for -4 yards (tackle by Chris Crocker),2.240,1.030
2,1:11,3,14,CIN 46,0,3,Tom Brady pass incomplete,1.030,0.200
2,1:07,4,14,CIN 46,0,3,Ryan Allen punts 39 yards,0.200,0.380
2,0:57,1,10,CIN 7,0,3,BenJarvus Green-Ellis for 3 yards (tackle by Tommy Kelly),-0.380,-0.380
2,0:52,1,10,CIN 7,0,3,Timeout #1 by New England Patriots,-0.380,-0.560
