Quarter,Time,Tm,Detail,NWE,CIN
2.0,3:12,Bengals,Mike Nugent 39 yard field goal,0,3
,0:08,Patriots,Stephen Gostkowski 42 yard field goal,3,3
3.0,5:43,Bengals,Mike Nugent 50 yard field goal,3,6
4.0,9:21,Bengals,BenJarvus Green-Ellis 1 yard rush (Mike Nugent kick),3,13
,6:28,Patriots,Stephen Gostkowski 19 yard field goal,6,13
