Unnamed: 0,BUF,JAX
First Downs,20,21
Rush-Yds-TDs,24-94-1,26-124-2
Cmp-Att-Yd-TD-INT,27-40-211-1-2,23-37-296-1-0
Sacked-Yards,1-8,1-4
Net Pass Yards,203,292
Total Yards,297,416
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,5-29,1-5
Third Down Conv.,9-16,9-16
Fourth Down Conv.,1-2,0-1
Time of Possession,30:45,29:15
