Quarter,Time,Down,ToGo,Location,OAK,CLE,Detail,EPB,EPA
2,13:14,1,10,CLE 33,3,0,Isaiah Crowell right guard for 5 yards (tackle by Curtis Lofton),1.140,1.270
2,12:33,2,5,CLE 38,3,0,Josh McCown pass incomplete deep right intended for Gary Barnidge,1.270,1.270
2,12:28,2,5,CLE 38,3,0,Timeout #2 by Cleveland Browns,1.270,0.560
2,12:28,3,5,CLE 38,3,0,Josh McCown pass incomplete short left intended for Rob Housler (defended by Charles Woodson). Penalty on Rob Housler: Offensive Pass Interference (Declined),0.560,-0.850
2,12:23,4,5,CLE 38,3,0,"Andy Lee punts 51 yards, returned by Amari Cooper for 9 yards (tackle by Christian Kirksey)",-0.850,-0.280
2,12:13,1,10,OAK 20,3,0,"Derek Carr pass complete short left to Michael Crabtree for 15 yards (tackle by Joe Haden). Penalty on Amari Cooper: Offensive Pass Interference, 10 yards (no play)",0.280,-0.760
2,11:46,1,20,OAK 10,3,0,"Penalty on Lee Smith: False Start, 5 yards (no play)",-0.760,-0.950
2,11:24,1,25,OAK 5,3,0,Latavius Murray left guard for 4 yards (tackle by Jordan Poyer),-0.950,-1.580
2,10:59,2,21,OAK 9,3,0,Latavius Murray left guard for 6 yards (tackle by Jordan Poyer),-1.580,-1.860
2,10:16,3,15,OAK 15,3,0,Derek Carr pass complete short left to Latavius Murray for 10 yards (tackle by Karlos Dansby),-1.860,-1.700
2,9:38,4,5,OAK 25,3,0,"Marquette King punts 64 yards, returned by Travis Benjamin for 14 yards (tackle by Lorenzo Alexander). Penalty on Tank Carder: Roughing the Kicker, 15 yards (no play)",-1.700,1.600
2,9:26,1,10,OAK 40,3,0,Derek Carr pass complete short right to Michael Crabtree for 10 yards (tackle by Donte Whitner),1.600,2.260
2,9:04,1,10,,3,0,Derek Carr pass incomplete short left intended for Amari Cooper,2.260,1.710
2,9:00,2,10,,3,0,"Roy Helu right end for 7 yards (tackle by Donte Whitner). Penalty on Donald Penn: False Start, 5 yards (no play)",1.710,1.040
2,9:00,2,15,OAK 45,3,0,Derek Carr pass complete short middle to Amari Cooper for 40 yards (tackle by Donte Whitner),1.040,4.580
2,8:14,1,10,CLE 15,3,0,Latavius Murray left guard for 7 yards (tackle by Christian Kirksey and Tashaun Gipson),4.580,5.220
2,7:48,2,3,CLE 8,3,0,Derek Carr pass incomplete short right intended for Michael Crabtree,5.220,4.450
2,7:43,3,3,CLE 8,3,0,Latavius Murray left guard for 4 yards (tackle by Tashaun Gipson and Danny Shelton),4.450,6.280
2,7:13,1,4,CLE 4,3,0,Latavius Murray left guard for 1 yard (tackle by Danny Shelton and Karlos Dansby),6.280,5.530
2,6:49,2,3,CLE 3,9,0,"Derek Carr pass complete short middle to Andre Holmes for 3 yards, touchdown",5.530,7.000
2,6:49,,,CLE 3,10,0,Sebastian Janikowski kicks extra point good,0.000,0.000
2,6:49,,,OAK 35,10,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
2,6:45,1,10,CLE 20,10,0,Josh McCown pass incomplete short left intended for Travis Benjamin,0.280,-0.270
2,6:42,2,10,CLE 20,10,0,Isaiah Crowell right tackle for -4 yards (tackle by Aldon Smith),-0.270,-1.690
2,6:02,3,14,CLE 16,10,0,Josh McCown pass complete right to Gary Barnidge for 40 yards (tackle by Charles Woodson),-1.690,2.650
2,5:19,1,10,OAK 44,10,0,Josh McCown pass incomplete deep left intended for Taylor Gabriel,2.650,2.110
2,5:12,2,10,OAK 44,10,0,Josh McCown pass incomplete short left intended for Andrew Hawkins,2.110,1.420
2,5:10,3,10,OAK 44,10,0,Josh McCown pass complete short middle to Gary Barnidge for 15 yards (tackle by Curtis Lofton and D.J. Hayden),1.420,3.640
2,4:31,1,10,OAK 29,10,0,Duke Johnson right tackle for -6 yards (tackle by Malcolm Smith and Stacy McGee),3.640,2.290
2,3:46,2,16,OAK 35,10,0,Josh McCown pass complete short right to Travis Benjamin for 17 yards (tackle by T.J. Carrie),2.290,4.370
2,3:03,1,10,OAK 18,10,0,Isaiah Crowell right tackle for 17 yards (tackle by Charles Woodson and T.J. Carrie),4.370,6.970
2,2:25,1,1,OAK 1,10,0,Isaiah Crowell left guard for no gain (tackle by Justin Tuck and Stacy McGee),6.970,5.910
2,2:00,2,1,OAK 1,10,0,Josh McCown pass incomplete short right intended for Gary Barnidge (defended by Malcolm Smith),5.910,5.170
2,1:55,3,1,OAK 1,10,0,Isaiah Crowell right guard for no gain (tackle by Curtis Lofton and Dan Williams),5.170,5.170
2,1:48,3,1,OAK 1,10,0,Timeout #1 by Oakland Raiders,5.170,3.550
2,1:48,4,1,OAK 1,10,0,"Penalty on Joel Bitonio: False Start, 5 yards (no play)",3.550,2.990
2,1:48,4,6,OAK 6,10,3,Travis Coons 24 yard field goal good,2.990,3.000
2,1:48,,,CLE 35,10,3,"Travis Coons kicks off 70 yards, returned by Taiwan Jones for 35 yards (tackle by Craig Robertson)",0.000,-0.940
2,1:44,1,10,OAK 30,10,3,Latavius Murray left guard for 20 yards (tackle by Tashaun Gipson),0.940,2.260
2,1:19,1,10,,10,3,Derek Carr pass complete short right to Seth Roberts for 36 yards (tackle by Tashaun Gipson),2.260,4.650
2,1:09,1,10,CLE 14,10,3,Derek Carr pass incomplete short middle intended for Seth Roberts,4.650,4.000
2,1:05,2,10,CLE 14,10,3,Marcel Reece left tackle for 1 yard (tackle by Karlos Dansby and Tramon Williams),4.000,3.260
2,0:24,3,9,CLE 13,16,3,"Derek Carr pass complete short left to Seth Roberts for 13 yards, touchdown",3.260,7.000
2,0:24,,,CLE 13,17,3,Sebastian Janikowski kicks extra point good,0.000,0.000
2,0:24,,,OAK 35,17,3,"Sebastian Janikowski kicks off 67 yards, returned by Shaun Draughn for 19 yards (tackle by Taylor Mays)",0.000,0.060
2,0:15,1,10,CLE 17,17,3,Josh McCown pass incomplete short right intended for Brian Hartline,-0.060,-0.580
2,0:12,2,10,CLE 17,17,3,Duke Johnson right guard for 6 yards (tackle by Curtis Lofton),-0.580,-0.490
Quarter,Time,Down,ToGo,Location,OAK,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,17,3,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,CLE 20,17,3,Isaiah Crowell right guard for 1 yard (tackle by Stacy McGee and Khalil Mack),0.280,-0.130
3,14:25,2,9,CLE 21,17,3,Josh McCown pass incomplete deep right intended for Travis Benjamin,-0.130,-0.820
3,14:18,3,9,CLE 21,17,3,Josh McCown sacked by Malcolm Smith for -5 yards,-0.820,-2.390
3,13:41,4,14,CLE 16,17,3,"Andy Lee punts 67 yards, returned by Amari Cooper for -9 yards (tackle by Christian Kirksey)",-2.390,0.380
3,13:24,1,10,OAK 8,17,3,Derek Carr pass complete short right to Michael Crabtree for 5 yards (tackle by Tramon Williams),-0.380,-0.410
3,12:44,2,5,OAK 13,17,3,Latavius Murray left guard for 54 yards (tackle by Joe Haden),-0.410,3.380
3,12:12,1,10,CLE 33,17,3,Derek Carr pass incomplete short right intended for Marcel Reece (defended by Donte Whitner),3.380,2.840
3,12:08,2,10,CLE 33,17,3,Taiwan Jones for 9 yards (tackle by Craig Robertson),2.840,3.340
3,11:31,3,1,CLE 24,17,3,Latavius Murray left tackle for 4 yards (tackle by Pierre Desir),3.340,4.240
3,10:47,1,10,CLE 20,17,3,Taiwan Jones left tackle for 7 yards (tackle by Karlos Dansby),4.240,4.830
3,10:15,2,3,CLE 13,17,3,"Derek Carr pass incomplete short right intended for Michael Crabtree. Penalty on Michael Crabtree: Offensive Pass Interference, 10 yards (no play)",4.830,3.290
3,10:10,2,13,CLE 23,17,3,Derek Carr pass incomplete short middle intended for Michael Crabtree,3.290,2.610
3,10:06,3,13,CLE 23,17,3,Derek Carr pass complete short middle to Michael Crabtree for 7 yards (tackle by Donte Whitner and Christian Kirksey),2.610,2.400
3,9:26,4,6,CLE 16,20,3,Sebastian Janikowski 35 yard field goal good,2.400,3.000
3,9:26,,,OAK 35,20,3,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
3,9:25,1,10,CLE 20,20,3,Josh McCown pass complete short right to Duke Johnson for 8 yards (tackle by Malcolm Smith),0.280,0.810
3,8:23,2,2,CLE 28,20,3,"Penalty on Jim Dray: False Start, 5 yards (no play)",0.810,0.140
3,8:23,2,7,CLE 23,20,3,"Josh McCown pass incomplete. Penalty on Aldon Smith: Defensive Offside, 5 yards (no play)",0.140,0.810
3,8:18,2,2,CLE 28,20,3,Josh McCown pass incomplete short left intended for Brian Hartline,0.810,0.100
3,8:16,3,2,CLE 28,20,3,Josh McCown pass complete short left to Brian Hartline for 10 yards (tackle by T.J. Carrie),0.100,1.470
,,,,,,,"OAK challenged the incomplete pass ruling, and the play was upheld.",,
3,7:48,1,10,CLE 38,20,3,Josh McCown pass complete short right to Travis Benjamin for 8 yards (tackle by Charles Woodson),1.470,2.000
3,7:20,2,2,CLE 46,20,3,Josh McCown pass incomplete short left intended for Gary Barnidge (defended by Aldon Smith),2.000,1.290
3,7:16,3,2,CLE 46,20,3,Josh McCown pass incomplete short left intended for Rob Housler (defended by Aldon Smith),1.290,1.290
3,7:12,3,2,CLE 46,20,3,Timeout #2 by Oakland Raiders,1.290,-0.320
3,7:12,4,2,CLE 46,20,3,Josh McCown pass complete short left to Gary Barnidge for 6 yards (tackle by Malcolm Smith),-0.320,2.390
3,6:42,1,10,OAK 48,20,3,Josh McCown pass complete short right to Duke Johnson for 2 yards (tackle by D.J. Hayden),2.390,2.120
3,6:14,2,8,OAK 46,20,3,Josh McCown pass complete short middle to Duke Johnson for no gain,2.120,1.420
3,5:27,3,8,OAK 46,20,3,Josh McCown pass complete short right to Brian Hartline for 9 yards (tackle by David Amerson and Charles Woodson),1.420,3.120
3,4:55,1,10,OAK 37,20,3,Josh McCown pass complete short right to Taylor Gabriel for 8 yards (tackle by David Amerson),3.120,3.650
3,4:16,2,2,OAK 29,20,3,Isaiah Crowell right guard for 1 yard (tackle by Malcolm Smith),3.650,3.070
3,3:38,3,1,OAK 28,20,9,"Josh McCown pass complete deep right to Gary Barnidge for 28 yards, touchdown",3.070,7.000
3,3:38,,,OAK 28,20,10,Travis Coons kicks extra point good,0.000,0.000
3,3:38,,,CLE 35,20,10,"Travis Coons kicks off 65 yards, touchback",0.000,-0.280
3,3:32,1,10,OAK 20,20,10,Latavius Murray left guard for 3 yards (tackle by Jamie Meder and Danny Shelton),0.280,0.140
3,2:50,2,7,OAK 23,20,10,Derek Carr pass complete short left to Marcel Reece for 55 yards (tackle by Tramon Williams),0.140,4.110
3,1:55,1,10,CLE 22,20,10,Latavius Murray right guard for 2 yards (tackle by Barkevious Mingo),4.110,3.830
3,1:15,2,8,CLE 20,20,10,Derek Carr pass complete short middle to Seth Roberts for 7 yards (tackle by Tramon Williams),3.830,4.390
3,0:33,3,1,CLE 13,20,10,Latavius Murray left guard for 5 yards (tackle by Karlos Dansby). Penalty on Xavier Cooper: Defensive Offside (Declined),4.390,5.370
Quarter,Time,Down,ToGo,Location,OAK,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,8,CLE 8,20,10,Latavius Murray right guard for 2 yards (tackle by Paul Kruger and Randy Starks),5.370,4.950
4,14:32,2,6,CLE 6,26,10,"Latavius Murray right guard for 6 yards, touchdown",4.950,7.000
4,14:32,,,CLE 6,27,10,Sebastian Janikowski kicks extra point good,0.000,0.000
4,14:32,,,OAK 35,27,10,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
4,14:30,1,10,CLE 20,27,10,Josh McCown sacked by Khalil Mack for -7 yards,0.280,-1.280
4,13:56,2,17,CLE 13,27,10,Josh McCown pass incomplete short middle intended for Andrew Hawkins,-1.280,-2.190
4,13:52,3,17,CLE 13,27,10,Josh McCown pass complete deep left to Brian Hartline for 41 yards (tackle by Neiko Thorpe),-2.190,2.520
4,13:13,1,10,OAK 46,27,10,"Josh McCown pass incomplete deep right intended for Taylor Gabriel. Penalty on David Amerson: Defensive Holding, 5 yards (no play)",2.520,2.850
4,13:06,1,10,OAK 41,27,10,Josh McCown pass complete short left to Taylor Gabriel for 9 yards (tackle by Malcolm Smith),2.850,3.520
4,12:29,2,1,OAK 32,27,10,Isaiah Crowell left guard for 13 yards (tackle by Charles Woodson),3.520,4.310
4,11:56,1,10,OAK 19,27,10,Josh McCown pass incomplete deep left intended for Travis Benjamin,4.310,3.750
4,11:50,2,10,OAK 19,27,10,Josh McCown pass incomplete deep middle intended for Andrew Hawkins (defended by Larry Asante),3.750,3.030
4,11:45,3,10,OAK 19,27,10,"Josh McCown sacked by Khalil Mack for -6 yards. Josh McCown fumbles (forced by Khalil Mack), recovered by Mitchell Schwartz at OAK-23",3.030,1.930
4,11:01,4,14,OAK 23,27,13,Travis Coons 41 yard field goal good,1.930,3.000
4,11:01,,,CLE 35,27,13,"Travis Coons kicks off 65 yards, touchback",0.000,-0.280
4,10:57,1,10,OAK 20,27,13,Derek Carr pass complete short right to Amari Cooper for 17 yards (tackle by Christian Kirksey),0.280,1.400
4,10:19,1,10,OAK 37,27,13,Latavius Murray right guard for 2 yards (tackle by Danny Shelton),1.400,1.130
4,9:37,2,8,OAK 39,27,13,"Taiwan Jones right end for no gain (tackle by Nate Orchard). Penalty on Austin Howard: Offensive Holding, 10 yards (no play)",1.130,-0.220
4,9:09,2,18,OAK 29,27,13,Derek Carr pass complete short left to Amari Cooper for 7 yards (tackle by Pierre Desir),-0.220,0.040
4,8:34,3,11,OAK 36,27,13,"Derek Carr pass complete short left to Amari Cooper for 7 yards (tackle by Christian Kirksey). Amari Cooper fumbles (forced by Christian Kirksey), recovered by John Hughes at OAK-44 (tackle by Gabe Jackson)",0.040,-2.650
4,8:26,1,10,OAK 44,27,13,Josh McCown pass complete short left to Andrew Hawkins for 8 yards (tackle by Charles Woodson),2.650,3.190
4,8:26,2,2,OAK 36,27,13,"Penalty on Aldon Smith: Neutral Zone Infraction, 5 yards (no play)",3.190,3.510
4,7:45,1,10,OAK 31,27,13,Josh McCown pass complete deep middle to Travis Benjamin for 16 yards (tackle by Neiko Thorpe),3.510,4.580
4,7:13,1,10,OAK 15,27,13,Josh McCown pass incomplete short middle intended for Andrew Hawkins (defended by T.J. Carrie),4.580,3.950
4,7:06,2,10,OAK 15,27,13,Josh McCown pass complete short right to Taylor Gabriel for 11 yards (tackle by D.J. Hayden),3.950,6.280
4,6:36,1,4,OAK 4,27,13,Josh McCown pass incomplete short right intended for Gary Barnidge,6.280,5.340
4,6:32,2,4,OAK 4,27,19,"Josh McCown pass complete short right to Travis Benjamin for 4 yards, touchdown",5.340,7.000
4,6:32,,,OAK 4,27,20,Travis Coons kicks extra point good,0.000,0.000
4,6:32,,,CLE 35,27,20,"Travis Coons kicks off 65 yards, touchback",0.000,-0.280
4,6:28,1,10,OAK 20,27,20,Latavius Murray right guard for 4 yards (tackle by Karlos Dansby and Danny Shelton),0.280,0.270
4,5:45,2,6,OAK 24,27,20,"Derek Carr pass incomplete short right intended for Amari Cooper. Penalty on J'Marcus Webb: Offensive Holding, 10 yards (no play)",0.270,-1.180
4,5:38,2,16,OAK 14,27,20,Latavius Murray right tackle for 1 yard (tackle by Nate Orchard),-1.180,-1.860
4,5:00,3,15,OAK 15,27,20,Derek Carr pass complete short right to Lee Smith for 8 yards (tackle by Paul Kruger and Barkevious Mingo),-1.860,-1.830
4,4:09,4,7,OAK 23,27,20,"Marquette King punts 34 yards, muffed catch by Travis Benjamin, recovered by Neiron Ball and returned for no gain",-1.830,2.720
4,4:01,1,10,CLE 43,27,20,Latavius Murray left guard for 4 yards (tackle by Donte Whitner),2.720,2.720
4,3:19,2,6,CLE 39,27,20,Latavius Murray left guard for 1 yard (tackle by Donte Whitner),2.720,2.150
4,2:38,3,5,CLE 38,27,20,Derek Carr pass incomplete short left intended for Amari Cooper,2.150,0.720
4,2:38,4,5,CLE 38,27,20,Penalty on Marquette King: Delay of Game (Declined),0.720,0.720
4,2:36,4,5,CLE 38,27,20,"Marquette King punts 36 yards, touchback",0.720,0.380
,,,,,,,"CLE challenged the touchback ruling, and the play was upheld.",,
4,2:26,1,10,CLE 2,27,20,Josh McCown pass incomplete deep left intended for Travis Benjamin (defended by T.J. Carrie),-0.380,-0.780
4,2:19,2,10,CLE 2,27,20,Josh McCown pass complete short left to Andrew Hawkins for 10 yards (tackle by Neiko Thorpe),-0.780,-0.350
4,2:14,1,10,CLE 12,27,20,Josh McCown pass incomplete short middle intended for Taylor Gabriel (defended by Denico Autry),-0.350,-0.780
4,2:09,2,10,CLE 12,27,20,Josh McCown pass complete short middle to Duke Johnson for 5 yards (tackle by Curtis Lofton),-0.780,-0.840
4,2:00,3,5,CLE 17,27,20,Josh McCown pass complete short left to Brian Hartline for 19 yards (tackle by Larry Asante),-0.840,1.330
4,1:36,1,10,CLE 36,27,20,Josh McCown pass incomplete short right intended for Duke Johnson,1.330,0.790
4,1:30,2,10,CLE 36,27,20,Josh McCown pass complete short right to Marlon Moore for 15 yards (tackle by David Amerson),0.790,2.320
4,1:04,1,10,OAK 49,27,20,Josh McCown pass complete short middle to Duke Johnson for 18 yards (tackle by Curtis Lofton),2.320,3.510
4,0:53,1,10,OAK 31,27,20,Josh McCown pass complete short left to Shaun Draughn for 2 yards (tackle by T.J. Carrie),3.510,3.510
4,0:49,1,10,OAK 31,27,20,Timeout #2 by Cleveland Browns,3.510,3.240
4,0:49,2,8,OAK 29,27,20,Josh McCown sacked by Neiron Ball for -6 yards,3.240,3.240
4,0:43,2,8,OAK 29,27,20,Timeout #3 by Cleveland Browns,3.240,1.750
4,0:43,3,14,OAK 35,27,20,Josh McCown pass incomplete deep right intended for Travis Benjamin is intercepted by Charles Woodson at OAK-12,1.750,0.350
4,0:38,1,10,OAK 12,27,20,Derek Carr kneels for -1 yards,-0.350,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
