Quarter,Time,Tm,Detail,JAX,CLE
1.0,6:54,Jaguars,Marcedes Lewis 10 yard pass from Blake Bortles (Josh Lambo kick),7,0
2.0,14:14,Jaguars,Josh Lambo 38 yard field goal,10,0
,11:28,Browns,Duke Johnson 27 yard pass from DeShone Kizer (Zane Gonzalez kick),10,7
4.0,3:31,Jaguars,Josh Lambo 39 yard field goal,13,7
,1:14,Jaguars,Telvin Smith fumble recovery in end zone,19,7
