Unnamed: 0,JAX,CLE
First Downs,15,11
Rush-Yds-TDs,44-139-0,18-50-0
Cmp-Att-Yd-TD-INT,17-30-154-1-0,16-32-179-1-2
Sacked-Yards,2-9,5-45
Net Pass Yards,145,134
Total Yards,284,184
Fumbles-Lost,5-1,6-3
Turnovers,1,5
Penalties-Yards,6-40,0-0
Third Down Conv.,6-20,3-13
Fourth Down Conv.,1-1,0-1
Time of Possession,36:55,23:05
