Quarter,Time,Tm,Detail,SEA,ARI
1.0,7:32,Seahawks,T.J. Duckett 1 yard rush (Olindo Mare kick),7,0
2.0,5:45,Cardinals,Jerheme Urban 16 yard pass from Kurt Warner (Neil Rackers kick),7,7
,4:23,Cardinals,Larry Fitzgerald 5 yard pass from Kurt Warner (Neil Rackers kick),7,14
,1:17,Seahawks,Deion Branch 30 yard pass from Seneca Wallace (Olindo Mare kick),14,14
3.0,8:43,Cardinals,Larry Fitzgerald 38 yard pass from Kurt Warner (Neil Rackers kick),14,21
,1:16,Cardinals,Steve Breaston 14 yard pass from Kurt Warner (Neil Rackers kick),14,28
4.0,12:04,Seahawks,Deion Branch 2 yard pass from Seneca Wallace (Olindo Mare kick),21,28
,8:26,Cardinals,Neil Rackers 23 yard field goal,21,31
,3:28,Cardinals,Neil Rackers 32 yard field goal,21,34
