Unnamed: 0,SEA,ARI
First Downs,24,19
Rush-Yds-TDs,28-87-1,19-111-0
Cmp-Att-Yd-TD-INT,24-43-250-2-2,24-38-346-4-1
Sacked-Yards,1-7,1-0
Net Pass Yards,243,346
Total Yards,330,457
Fumbles-Lost,2-1,2-1
Turnovers,3,2
Penalties-Yards,11-82,10-100
Third Down Conv.,3-13,6-12
Fourth Down Conv.,3-3,0-0
Time of Possession,32:16,27:44
