Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
1,3:41,2,9,GNB 36,0,6,Aaron Rodgers pass complete short left to Tavon Austin for -1 yards (tackle by Kenny Vaccaro),0.860,0.040
1,3:00,3,10,GNB 35,0,6,"Aaron Rodgers pass complete short left to AJ Dillon for no gain (tackle by Wyatt Ray). Penalty on Rashaan Evans: Illegal Use of Hands, 5 yards (no play)",0.040,1.600
1,2:30,1,10,GNB 40,0,6,AJ Dillon left tackle for 6 yards (tackle by David Long),1.600,1.860
1,1:52,2,4,GNB 46,0,6,Aaron Rodgers pass complete short right to Allen Lazard for 7 yards (tackle by Kevin Byard),1.860,2.460
1,1:22,1,10,TEN 47,0,6,Aaron Rodgers pass complete short right to Robert Tonyan for 17 yards (tackle by Harold Landry and Kevin Byard),2.460,3.580
1,0:37,1,10,TEN 30,0,6,Aaron Rodgers pass incomplete deep left,3.580,3.030
1,0:31,2,10,TEN 30,0,6,AJ Dillon right end for 9 yards (tackle by Malcolm Butler and Kevin Byard),3.030,3.530
Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,TEN 21,0,12,"Aaron Rodgers pass complete deep right to Equanimeous St. Brown for 21 yards, touchdown",3.530,7.000
2,14:54,,,TEN 2,0,12,"Two Point Attempt: Aaron Jones rushes, conversion fails.",1.000,-1.000
2,14:54,,,GNB 35,0,12,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
2,14:54,1,10,TEN 25,0,12,Derrick Henry up the middle for 1 yard (tackle by Dean Lowry and Adrian Amos),0.610,0.200
2,14:18,2,9,TEN 26,0,12,Derrick Henry right guard for 5 yards (tackle by Krys Barnes and Dean Lowry),0.200,0.170
2,13:37,3,4,TEN 31,0,12,Ryan Tannehill pass short right intended for A.J. Brown is intercepted by Darnell Savage at TEN-43 and returned for 9 yards,0.170,-3.310
2,13:30,1,10,TEN 34,0,12,Aaron Rodgers pass incomplete short left intended for Aaron Jones,3.310,2.770
2,13:22,2,10,TEN 34,0,12,AJ Dillon up the middle for 14 yards (tackle by Kevin Byard),2.770,4.240
2,12:39,1,10,TEN 20,0,12,Aaron Rodgers pass complete short left to Tavon Austin for 6 yards (tackle by Malcolm Butler),4.240,4.640
2,12:09,2,4,TEN 14,0,12,AJ Dillon left tackle for 1 yard (tackle by Rashaan Evans),4.640,4.100
2,11:28,3,3,TEN 13,0,12,AJ Dillon up the middle for 6 yards (tackle by Jeffery Simmons),4.100,5.600
2,10:49,1,7,TEN 7,0,18,"Aaron Rodgers pass complete short right to Davante Adams for 7 yards, touchdown",5.600,7.000
2,10:46,,,TEN 15,0,19,Mason Crosby kicks extra point good,0.000,0.000
2,10:46,,,GNB 35,0,19,"Mason Crosby kicks off 62 yards, returned by Darrynton Evans for 28 yards (tackle by Vernon Scott and Josh Jackson)",0.000,1.000
2,10:40,1,10,TEN 31,0,19,Ryan Tannehill sacked by Christian Kirksey for -7 yards,1.000,-0.490
2,9:59,2,17,TEN 24,0,19,Ryan Tannehill pass incomplete short right intended for Darrynton Evans (defended by Preston Smith),-0.490,-1.150
2,9:56,3,17,TEN 24,0,19,"Ryan Tannehill sacked by Za'Darius Smith for -10 yards. Ryan Tannehill fumbles (forced by Za'Darius Smith), recovered by Ryan Tannehill at TEN-14",-1.150,-2.470
2,9:09,4,27,TEN 14,0,19,Brett Kern punts 41 yards out of bounds,-2.470,-1.930
2,9:01,1,10,GNB 45,0,19,Aaron Rodgers pass complete deep left to Davante Adams for 23 yards (tackle by Adoree' Jackson),1.930,3.450
2,8:14,1,10,TEN 32,0,19,AJ Dillon up the middle for 2 yards (tackle by Harold Landry and Kenny Vaccaro),3.450,3.170
2,7:31,2,8,TEN 30,0,19,AJ Dillon left tackle for 5 yards (tackle by Harold Landry),3.170,3.140
2,6:45,3,3,TEN 25,0,19,AJ Dillon left guard for 6 yards (tackle by Jack Crawford),3.140,4.310
2,5:59,1,10,TEN 19,0,19,Aaron Rodgers pass complete short left to AJ Dillon for 5 yards (tackle by Rashaan Evans),4.310,4.530
2,5:22,,,,,,Timeout #1 by Green Bay Packers,,
2,5:22,2,5,TEN 14,0,19,Aaron Jones left end for -3 yards (tackle by Kenny Vaccaro),4.530,3.260
2,4:39,3,8,TEN 17,0,19,Aaron Rodgers pass incomplete deep left intended for Robert Tonyan,3.260,2.310
2,4:35,4,8,TEN 17,0,19,"Mason Crosby yard field goal no good blocked by Jack Crawford, recovered by Amani Hooker (tackle by JK Scott). Penalty on Joshua Kalu: Defensive Offside, 5 yards (no play)",2.310,2.730
2,4:22,4,3,TEN 12,0,19,Aaron Rodgers sacked by Wyatt Ray for -17 yards,2.730,-0.870
2,4:16,1,10,TEN 29,0,19,Derrick Henry right end for 1 yard (tackle by Rashan Gary),0.870,0.460
2,3:41,2,9,TEN 30,0,19,Derrick Henry left end for 5 yards (tackle by Kevin King and Darnell Savage),0.460,0.430
2,2:59,3,4,TEN 35,0,19,Ryan Tannehill pass complete short middle to A.J. Brown for 10 yards (tackle by Jaire Alexander),0.430,1.930
2,2:16,1,10,TEN 45,0,19,Derrick Henry left end for 3 yards (tackle by Preston Smith),1.930,1.790
2,2:00,2,7,TEN 48,0,19,Ryan Tannehill pass complete short left to A.J. Brown for 12 yards (tackle by Kevin King),1.790,2.920
2,1:26,1,10,GNB 40,0,19,Derrick Henry right end for 10 yards (tackle by Darnell Savage and Kevin King),2.920,3.580
2,1:14,,,,,,Timeout #1 by Tennessee Titans,,
2,1:14,1,10,GNB 30,0,19,Derrick Henry up the middle for -2 yards (tackle by Kenny Clark),3.580,2.760
2,0:53,2,12,GNB 32,0,19,Ryan Tannehill pass complete short left to A.J. Brown for 12 yards (tackle by Chandon Sullivan),2.760,4.240
2,0:48,1,10,GNB 20,0,19,Ryan Tannehill pass complete short right to Jonnu Smith for 8 yards (tackle by Chandon Sullivan),4.240,5.040
2,0:43,2,2,GNB 12,6,19,"Ryan Tannehill pass complete short left to Jonnu Smith for 12 yards, touchdown",5.040,7.000
2,0:37,,,GNB 15,7,19,Stephen Gostkowski kicks extra point good,0.000,0.000
2,0:37,,,TEN 35,7,19,"Stephen Gostkowski kicks off 55 yards, returned by Malik Taylor for 11 yards (tackle by Khari Blasingame and Nick Dzubnar)",0.000,0.340
2,0:31,,,,,,Timeout #2 by Tennessee Titans,,
2,0:31,1,10,GNB 21,7,19,Aaron Rodgers pass complete short middle to Aaron Jones for 9 yards (tackle by Kenny Vaccaro and Amani Hooker),0.340,1.020
2,0:23,,,,,,Timeout #2 by Green Bay Packers,,
2,0:23,2,1,GNB 30,7,19,Aaron Rodgers right end for 5 yards (tackle by David Long),1.020,1.270
2,0:08,1,10,GNB 35,7,19,Aaron Rodgers pass complete short right to Davante Adams for 6 yards (tackle by Malcolm Butler),1.270,1.530
Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,7,19,"Mason Crosby kicks off 62 yards, returned by Darrynton Evans for 31 yards (tackle by Dominique Dafney)",0.000,1.200
3,14:53,1,10,TEN 34,7,19,Derrick Henry right end for 3 yards (tackle by Kenny Clark),1.200,1.060
3,14:11,2,7,TEN 37,7,19,Ryan Tannehill pass complete short middle to A.J. Brown for 9 yards (tackle by Chandon Sullivan),1.060,1.990
3,13:33,1,10,TEN 46,7,19,Derrick Henry right tackle for 4 yards (tackle by Rashan Gary),1.990,1.990
3,12:52,2,6,TEN 50,7,19,Derrick Henry left end for 5 yards (tackle by Kenny Clark),1.990,1.950
3,12:10,3,1,GNB 45,13,19,"Ryan Tannehill right tackle for 45 yards, touchdown",1.950,7.000
3,12:01,,,GNB 15,14,19,Stephen Gostkowski kicks extra point good,0.000,0.000
3,12:01,,,TEN 35,14,19,"Stephen Gostkowski kicks off 55 yards, returned by Malik Taylor for 24 yards (tackle by Nick Dzubnar and William Compton)",0.000,1.200
3,11:57,1,10,GNB 34,14,19,Aaron Jones left end for 59 yards (tackle by Adoree' Jackson),1.200,5.600
3,11:17,1,7,TEN 7,14,19,Aaron Jones right end for -1 yards (tackle by Harold Landry),5.600,4.570
3,10:33,2,8,TEN 8,14,25,"Aaron Rodgers pass complete short middle to Davante Adams for 8 yards, touchdown",4.570,7.000
3,10:27,,,TEN 15,14,26,Mason Crosby kicks extra point good,0.000,0.000
3,10:27,,,GNB 35,14,26,"Mason Crosby kicks off 58 yards, returned by Darrynton Evans for 23 yards (tackle by Henry Black)",0.000,0.940
3,10:22,1,10,TEN 30,14,26,Ryan Tannehill pass incomplete short middle intended for A.J. Brown,0.940,0.390
3,10:18,2,10,TEN 30,14,26,Derrick Henry up the middle for 3 yards (tackle by Kamal Martin and Za'Darius Smith),0.390,0.100
3,9:40,3,7,TEN 33,14,26,Ryan Tannehill pass incomplete deep right intended for A.J. Brown (defended by Darnell Savage),0.100,-1.180
3,9:32,4,7,TEN 33,14,26,Brett Kern punts 41 yards downed by Nick Dzubnar,-1.180,-0.670
3,9:23,1,10,GNB 26,14,26,Aaron Rodgers pass complete short middle to Davante Adams for 11 yards (tackle by David Long),0.670,1.400
3,8:43,1,10,GNB 37,14,26,AJ Dillon left tackle for 8 yards (tackle by Brooks Reed),1.400,1.940
3,8:06,2,2,GNB 45,14,26,AJ Dillon right tackle for 6 yards (tackle by Rashaan Evans and Adoree' Jackson),1.940,2.320
3,7:26,1,10,TEN 49,14,26,"Aaron Rodgers pass complete short right to AJ Dillon for 7 yards (tackle by Adoree' Jackson). Penalty on Teair Tart: Defensive Offside, 5 yards (no play)",2.320,3.050
3,7:02,1,5,TEN 44,14,26,AJ Dillon right end for -3 yards (tackle by David Long),3.050,2.050
3,6:20,2,8,TEN 47,14,26,Aaron Rodgers pass complete short right to Davante Adams for 8 yards (tackle by Malcolm Butler),2.050,2.980
3,5:45,1,10,TEN 39,14,26,Aaron Jones left end for 8 yards (tackle by Harold Landry),2.980,3.520
3,5:11,2,2,TEN 31,14,26,Aaron Jones up the middle for 1 yard (tackle by David Long),3.520,2.940
3,4:28,,,,,,Timeout #1 by Green Bay Packers,,
3,4:28,3,1,TEN 30,14,26,Aaron Jones right guard for no gain (tackle by Matt Dickerson and Teair Tart),2.940,1.520
3,3:42,4,1,TEN 30,14,32,"AJ Dillon right tackle for 30 yards, touchdown",1.520,7.000
3,3:35,,,TEN 15,14,33,Mason Crosby kicks extra point good,0.000,0.000
3,3:35,,,GNB 35,14,33,"Mason Crosby kicks off 61 yards, returned by Darrynton Evans for 20 yards (tackle by Ty Summers)",0.000,0.540
3,3:31,1,10,TEN 24,14,33,Derrick Henry left end for 4 yards (tackle by Krys Barnes),0.540,0.540
3,2:56,2,6,TEN 28,14,33,Derrick Henry left end for 3 yards (tackle by Preston Smith and Kingsley Keke),0.540,0.230
3,2:16,3,3,TEN 31,14,33,Ryan Tannehill pass complete short middle to Anthony Firkser for 11 yards (tackle by Adrian Amos and Rashan Gary),0.230,1.730
3,1:39,1,10,TEN 42,14,33,Ryan Tannehill pass incomplete short right intended for Corey Davis (defended by Jaire Alexander),1.730,1.190
3,1:36,2,10,TEN 42,14,33,Derrick Henry up the middle for 10 yards (tackle by Adrian Amos),1.190,2.390
3,1:13,1,10,GNB 48,14,33,Ryan Tannehill pass incomplete short right intended for A.J. Brown (defended by Adrian Amos),2.390,1.850
3,1:09,2,10,GNB 48,14,33,Derrick Henry right end for 3 yards (tackle by Adrian Amos and Rashan Gary),1.850,1.550
3,0:28,3,7,GNB 45,14,33,Ryan Tannehill pass complete short middle to Jonnu Smith for 10 yards (tackle by Krys Barnes),1.550,3.250
Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,GNB 35,14,33,Ryan Tannehill pass incomplete short right intended for Jonnu Smith (defended by Jaire Alexander),3.250,2.700
4,14:56,2,10,GNB 35,14,33,Ryan Tannehill pass short right intended for Jonnu Smith is intercepted by Christian Kirksey at GB-33 and returned for 10 yards,2.700,-1.800
4,14:48,1,10,GNB 43,14,33,Aaron Jones left end for 10 yards (tackle by Malcolm Butler and DaQuan Jones),1.800,2.460
4,14:03,1,10,TEN 47,14,33,"Aaron Rodgers aborted snap, recovered by Aaron Rodgers at GB-47 and returned for -6 yards",2.460,1.100
4,13:19,2,16,GNB 47,14,33,Aaron Rodgers pass complete short left to Aaron Jones for 5 yards (tackle by Adoree' Jackson),1.100,1.090
4,12:32,3,11,TEN 48,14,33,Aaron Rodgers pass short middle intended for Davante Adams is intercepted by Malcolm Butler at TEN-34 and returned for 3 yards,1.090,-1.400
4,12:24,1,10,TEN 37,14,33,Derrick Henry left end for 6 yards (tackle by Kevin King and Darnell Savage),1.400,1.670
4,11:56,2,4,TEN 43,14,33,Derrick Henry right end for 8 yards (tackle by Darnell Savage),1.670,2.320
4,11:24,1,10,GNB 49,14,33,Ryan Tannehill up the middle for 1 yard (tackle by Rashan Gary),2.320,1.920
4,10:52,2,9,GNB 48,14,33,Ryan Tannehill pass complete deep left to Nick Westbrook-Ikhine for 19 yards (tackle by Vernon Scott),1.920,3.640
4,10:18,1,10,GNB 29,14,33,Derrick Henry up the middle for 9 yards (tackle by Vernon Scott),3.640,4.320
4,9:48,2,1,GNB 20,14,33,Derrick Henry right end for 5 yards (tackle by Jaire Alexander and Chandon Sullivan),4.320,4.580
4,9:23,1,10,GNB 15,14,33,Ryan Tannehill pass incomplete short middle,4.580,3.950
4,9:19,2,10,GNB 15,14,33,Ryan Tannehill pass incomplete short right intended for Corey Davis,3.950,3.100
4,9:15,3,10,GNB 15,14,33,Ryan Tannehill pass complete short middle to Jeremy McNichols for 6 yards (tackle by Adrian Amos),3.100,2.900
4,8:32,4,4,GNB 9,14,33,Ryan Tannehill pass incomplete short middle intended for Jonnu Smith (defended by Jaire Alexander),2.900,0.380
4,8:28,1,10,GNB 9,14,33,AJ Dillon left end for 6 yards (tackle by David Long and Jeffery Simmons),-0.380,-0.280
4,7:41,2,4,GNB 15,14,33,AJ Dillon left end for 8 yards (tackle by Kenny Vaccaro),-0.280,0.480
4,6:59,1,10,GNB 23,14,33,AJ Dillon up the middle for 9 yards (tackle by Kevin Byard and Adoree' Jackson),0.480,1.150
4,6:11,2,1,GNB 32,14,33,Aaron Rodgers pass complete short left to Davante Adams for 27 yards (tackle by Desmond King),1.150,2.850
4,5:32,1,10,TEN 41,14,33,AJ Dillon right tackle for no gain (tackle by DaQuan Jones),2.850,2.310
4,4:48,2,10,TEN 41,14,33,AJ Dillon left tackle for no gain (tackle by Amani Hooker and Jack Crawford),2.310,1.620
4,4:01,3,10,TEN 41,14,33,Aaron Rodgers pass complete deep left to Davante Adams for 32 yards (tackle by Malcolm Butler),1.620,5.140
4,3:14,1,9,TEN 9,14,33,AJ Dillon left guard for 2 yards (tackle by Kevin Byard and Jack Crawford),5.140,4.760
4,2:30,2,7,TEN 7,14,39,"AJ Dillon right guard for 7 yards, touchdown",4.760,7.000
4,2:25,,,TEN 15,14,40,Mason Crosby kicks extra point good,0.000,0.000
4,2:25,,,GNB 35,14,40,"Mason Crosby kicks off 59 yards, returned by Darrynton Evans for 17 yards (tackle by Henry Black and Ty Summers)",0.000,0.480
4,2:20,1,10,TEN 23,14,40,Darrynton Evans up the middle for 3 yards (tackle by Tyler Lancaster),0.480,0.340
4,2:00,2,7,TEN 26,14,40,Logan Woodside pass incomplete short right intended for Kalif Raymond,0.340,-0.360
4,1:56,3,7,TEN 26,14,40,Logan Woodside pass incomplete short middle intended for Darrynton Evans (defended by Ty Summers),-0.360,-1.630
4,1:52,4,7,TEN 26,14,40,Brett Kern punts 60 yards downed by Nick Westbrook-Ikhine,-1.630,0.280
4,1:41,1,10,GNB 14,14,40,Tim Boyle kneels for -1 yards,-0.280,-0.850
4,1:00,2,11,GNB 13,14,40,Tim Boyle kneels for -1 yards,-0.850,-1.650
4,0:31,3,12,GNB 12,14,40,Tim Boyle kneels for -1 yards,-1.650,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
