Quarter,Time,Tm,Detail,TEN,GNB
1.0,9:55,Packers,Davante Adams 5 yard pass from Aaron Rodgers (Mason Crosby kick failed),0,6
2.0,14:54,Packers,Equanimeous St. Brown 21 yard pass from Aaron Rodgers (run failed),0,12
,10:46,Packers,Davante Adams 7 yard pass from Aaron Rodgers (Mason Crosby kick),0,19
,0:37,Titans,Jonnu Smith 12 yard pass from Ryan Tannehill (Stephen Gostkowski kick),7,19
3.0,12:01,Titans,Ryan Tannehill 45 yard rush (Stephen Gostkowski kick),14,19
,10:27,Packers,Davante Adams 8 yard pass from Aaron Rodgers (Mason Crosby kick),14,26
,3:35,Packers,AJ Dillon 30 yard rush (Mason Crosby kick),14,33
4.0,2:25,Packers,AJ Dillon 7 yard rush (Mason Crosby kick),14,40
