Unnamed: 0,TEN,GNB
First Downs,15,27
Rush-Yds-TDs,27-156-1,37-234-2
Cmp-Att-Yd-TD-INT,11-26-121-1-2,21-25-231-4-1
Sacked-Yards,2-17,1-17
Net Pass Yards,104,214
Total Yards,260,448
Fumbles-Lost,1-0,1-0
Turnovers,2,1
Penalties-Yards,3-15,0-0
Third Down Conv.,5-11,4-8
Fourth Down Conv.,0-1,1-2
Time of Possession,23:23,36:37
