Unnamed: 0,NOR,MIN
First Downs,23,24
Rush-Yds-TDs,24-80-0,29-95-2
Cmp-Att-Yd-TD-INT,25-41-294-3-2,25-40-318-1-1
Sacked-Yards,2-16,2-10
Net Pass Yards,278,308
Total Yards,358,403
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,7-97,4-30
Third Down Conv.,2-9,10-17
Fourth Down Conv.,1-1,0-0
Time of Possession,26:43,33:17
