Quarter,Time,Tm,Detail,NOR,MIN
1.0,9:45,Vikings,Jerick McKinnon 14 yard rush (Kai Forbath kick),0,7
,4:42,Vikings,Kai Forbath 20 yard field goal,0,10
2.0,9:58,Vikings,Latavius Murray 1 yard rush (Kai Forbath kick),0,17
3.0,1:18,Saints,Michael Thomas 14 yard pass from Drew Brees (Wil Lutz kick),7,17
4.0,13:09,Saints,Michael Thomas 3 yard pass from Drew Brees (Wil Lutz kick),14,17
,10:12,Vikings,Kai Forbath 49 yard field goal,14,20
,3:01,Saints,Alvin Kamara 14 yard pass from Drew Brees (Wil Lutz kick),21,20
,1:29,Vikings,Kai Forbath 53 yard field goal,21,23
,0:25,Saints,Wil Lutz 43 yard field goal,24,23
,0:00,Vikings,Stefon Diggs 61 yard pass from Case Keenum (run failed),24,29
