#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:00,MIN 17,6,3:47,34,Interception
2,1,2:02,MIN 36,2,0:44,3,Interception
3,2,15:00,CAR 17,4,2:02,17,Touchdown
4,2,11:21,CAR 47,3,1:45,1,Punt
5,2,4:33,MIN 32,3,1:36,2,Punt
6,2,1:10,MIN 20,4,0:30,27,Punt
7,3,15:00,MIN 37,4,2:10,21,Punt
8,3,10:45,MIN 18,3,2:11,8,Punt
9,3,6:56,MIN 11,2,0:55,1,Interception
10,3,5:14,MIN 18,6,3:08,28,Punt
11,4,13:28,MIN 24,2,0:52,20,Fumble
12,4,7:54,MIN 11,9,4:25,89,Touchdown
13,4,2:16,MIN 22,4,0:27,4,Downs
14,4,0:04,MIN 30,1,0:04,0,Interception
