Quarter,Time,Tm,Detail,CAR,MIN
2.0,12:58,Vikings,Michael Bennett 1 yard rush (Gary Anderson kick),0,7
3.0,5:14,Panthers,Steve Smith Sr. 14 yard pass from Rodney Peete (Jon Hilbert kick),7,7
4.0,13:28,Panthers,Lamar Smith 12 yard rush (Jon Hilbert kick),14,7
,7:54,Panthers,Lamar Smith 24 yard rush (Jon Hilbert kick),21,7
,3:29,Vikings,Chris Walsh 4 yard pass from Daunte Culpepper (Gary Anderson kick),21,14
