Quarter,Time,Down,ToGo,Location,CAR,MIN,Detail,EPB,EPA
1,7:13,1,10,CAR 7,0,0,Lamar Smith right guard for -1 yards (tackle by Fred Robbins),-0.380,-0.850
1,6:33,2,11,CAR 6,0,0,Lamar Smith right end for 7 yards (tackle by Corey Chavous),-0.850,-0.720
1,6:04,3,4,CAR 13,0,0,"Rodney Peete pass complete to Muhsin Muhammad for 21 yards (tackle by Eric Kelly and Ronnie Bradford). Penalty on Lance Johnstone: Roughing the Passer, 15 yards",-0.720,2.190
1,5:32,1,10,CAR 49,0,0,Rodney Peete sacked by Lance Johnstone for -6 yards,2.190,0.840
1,5:01,2,16,CAR 43,0,0,Lamar Smith middle for 1 yard (tackle by Lemanski Hall),0.840,0.300
1,4:15,3,15,CAR 44,0,0,Rodney Peete pass complete to Steve Smith for 22 yards (tackle by Willie Offord),0.300,3.310
1,3:31,1,10,MIN 34,0,0,Lamar Smith middle for no gain (tackle by Lorenzo Bromell and Chris Hovan),3.310,2.770
1,2:52,2,10,MIN 34,0,0,Rodney Peete pass incomplete intended for Muhsin Muhammad (defended by Willie Offord),2.770,2.080
1,2:45,3,10,MIN 34,0,0,Rodney Peete pass complete to Brad Hoover for 6 yards (tackle by Greg Biekert),2.080,1.650
1,2:08,4,4,MIN 28,0,0,Jon Hilbert 45 yard field goal no good,1.650,-1.330
1,2:02,1,10,MIN 36,0,0,Michael Bennett middle for 3 yards (tackle by Terry Cousin),1.330,1.200
1,1:30,2,7,MIN 39,0,0,Daunte Culpepper pass incomplete intended for Randy Moss is intercepted by Deon Grant at CAR-32 and returned for 6 yards,1.200,-1.470
1,1:18,1,10,CAR 38,0,0,Rodney Peete pass complete to Lamar Smith for 5 yards (tackle by Chris Hovan),1.470,1.600
1,0:38,2,5,CAR 43,0,0,Lamar Smith right end for -4 yards (tackle by Willie Offord),1.600,0.370
1,0:07,3,9,CAR 39,0,0,Rodney Peete pass incomplete is intercepted by Corey Chavous at 50 and returned for 33 yards,0.370,-4.440
Quarter,Time,Down,ToGo,Location,CAR,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CAR 17,0,0,Michael Bennett middle for 3 yards (tackle by Mark Fields),4.440,4.320
2,14:19,2,7,CAR 14,0,0,Moe Williams middle for 6 yards (tackle by Dan Morgan),4.320,4.800
2,13:49,3,1,CAR 8,0,0,Moe Williams right tackle for 7 yards (tackle by Emmanuel McDaniel and Deon Grant),4.800,6.970
2,13:00,1,1,CAR 1,0,6,"Michael Bennett left guard for 1 yard, touchdown",6.970,7.000
2,13:00,,,CAR 1,0,7,Gary Anderson kicks extra point good,0.000,0.000
2,13:00,,,MIN 30,0,7,"Doug Brien kicks off 61 yards, returned by Steve Smith for 22 yards (tackle by Nick Rogers)",0.000,-1.000
2,12:52,1,10,CAR 31,0,7,Rodney Peete pass incomplete,1.000,0.460
2,12:47,2,10,CAR 31,0,7,Lamar Smith middle for 12 yards (tackle by Corey Chavous),0.460,1.800
2,12:11,1,10,CAR 43,0,7,Lamar Smith left guard for no gain (tackle by Kenny Mixon),1.800,1.250
2,11:32,2,10,CAR 43,0,7,Rodney Peete pass incomplete intended for Steve Smith is intercepted by Tyrone Carter at MIN-40 and returned for 13 yards,1.250,-2.460
2,11:21,1,10,CAR 47,0,7,Daunte Culpepper pass incomplete intended for D'Wayne Bates,2.460,1.910
2,11:16,2,10,CAR 47,0,7,Moe Williams right tackle for 3 yards (tackle by Mark Fields),1.910,1.620
2,10:34,3,7,CAR 44,0,7,"Daunte Culpepper sacked by Mike Rucker for -8 yards. Daunte Culpepper fumbles (forced by Mike Rucker), recovered by Michael Bennett at CAR-46",1.620,0.200
2,9:47,4,9,CAR 46,0,7,"Kyle Richardson punts 46 yards, touchback",0.200,-0.280
2,9:36,1,10,CAR 20,0,7,Rodney Peete pass complete to Muhsin Muhammad for 6 yards (tackle by Ronnie Bradford),0.280,0.540
2,8:59,2,4,CAR 26,0,7,Rodney Peete pass incomplete intended for Steve Smith,0.540,-0.160
2,8:51,2,4,CAR 26,,,Timeout #1 by Carolina Panthers,0.540,-0.160
2,8:51,3,4,CAR 26,0,7,Rodney Peete pass complete to Muhsin Muhammad for 7 yards (tackle by Corey Chavous),-0.160,1.140
2,8:14,1,10,CAR 33,0,7,Rodney Peete pass complete to Steve Smith for 4 yards (tackle by Corey Chavous),1.140,1.130
2,7:33,2,6,CAR 37,0,7,Rodney Peete pass complete to Muhsin Muhammad for 2 yards (tackle by Henri Crockett),1.130,0.700
2,6:48,3,4,CAR 39,0,7,Lamar Smith middle for 7 yards (tackle by Lance Johnstone),0.700,1.990
2,6:09,1,10,CAR 46,0,7,Rodney Peete pass complete to Brad Hoover for 4 yards (tackle by Lemanski Hall),1.990,1.990
2,5:39,2,6,,0,7,Lamar Smith middle for -2 yards (tackle by Greg Biekert),1.990,1.030
2,4:56,3,8,CAR 48,0,7,Rodney Peete pass incomplete intended for Isaac Byrd,1.030,-0.190
2,4:51,4,8,CAR 48,0,7,"Todd Sauerbrun punts 43 yards, fair catch by Nick Davis. Penalty on Damien Richardson: Illegal Use of Hands, 10 yards (no play)",-0.190,-0.850
2,4:43,4,18,CAR 38,0,7,"Todd Sauerbrun punts 39 yards, returned by Nick Davis for 9 yards (tackle by Will Witherspoon)",-0.850,-1.070
2,4:33,1,10,MIN 32,0,7,Michael Bennett middle for 3 yards (tackle by Reggie Howard),1.070,0.930
2,3:59,2,7,MIN 35,0,7,Daunte Culpepper pass complete to Michael Bennett for -1 yards (tackle by Mark Fields),0.930,0.100
2,3:14,3,8,MIN 34,0,7,Daunte Culpepper pass incomplete intended for Randy Moss,0.100,-1.110
2,3:08,4,8,MIN 34,0,7,"Kyle Richardson punts 43 yards, returned by Steve Smith for -1 yards (tackle by Harold Morrow)",-1.110,-0.410
2,2:57,1,10,CAR 22,0,7,Lamar Smith left guard for 26 yards (tackle by Ronnie Bradford and Lance Johnstone),0.410,2.130
2,2:20,1,10,CAR 48,0,7,Lamar Smith right end for -2 yards (tackle by Fred Robbins),2.130,1.310
2,2:00,2,12,CAR 46,0,7,Rodney Peete pass complete to Wesley Walls for 4 yards (tackle by Eric Kelly),1.310,1.160
2,1:24,3,8,,0,7,Rodney Peete pass incomplete intended for Isaac Byrd,1.160,-0.060
2,1:17,4,8,,0,7,"Todd Sauerbrun punts 50 yards, touchback",-0.060,-0.280
2,1:10,1,10,MIN 20,0,7,Daunte Culpepper pass complete to D'Wayne Bates for 19 yards (tackle by Deon Grant),0.280,1.530
2,1:05,1,10,MIN 39,0,7,Daunte Culpepper pass complete to Hunter Goodwin for 5 yards (tackle by Mark Fields),1.530,1.660
2,0:59,1,10,MIN 39,,,Timeout #1 by Minnesota Vikings,1.530,1.660
2,0:59,2,5,MIN 44,0,7,Daunte Culpepper pass complete to D'Wayne Bates for 3 yards (tackle by Terry Cousin),1.660,1.360
2,0:54,3,2,MIN 47,0,7,Daunte Culpepper pass incomplete intended for D'Wayne Bates,1.360,-0.260
2,0:49,4,2,MIN 47,0,7,"Kyle Richardson punts 53 yards, touchback",-0.260,-0.280
2,0:40,1,10,CAR 20,0,7,Lamar Smith right guard for 9 yards (tackle by Henri Crockett and Kenny Mixon),0.280,0.950
2,0:25,1,10,CAR 20,,,Timeout #2 by Carolina Panthers,0.280,0.950
2,0:25,2,1,CAR 29,0,7,Nick Goings middle for 7 yards (tackle by Lance Johnstone),0.950,1.330
Quarter,Time,Down,ToGo,Location,CAR,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 30,0,7,"Todd Sauerbrun kicks off 54 yards, returned by Nick Davis for 21 yards (tackle by Jarrod Cooper)",0.000,1.400
3,14:55,1,10,MIN 37,0,7,"Daunte Culpepper pass complete to Randy Moss for 5 yards (tackle by Dan Morgan and Mike Rucker). Penalty on Dan Morgan: Unsportsmanlike Conduct, 15 yards",1.400,2.720
3,14:33,1,10,CAR 43,0,7,Michael Bennett right tackle for 4 yards (tackle by Brentson Buckner),2.720,2.720
3,13:54,2,6,CAR 39,0,7,Daunte Culpepper sacked by Reggie Howard for -1 yards,2.720,1.880
3,13:18,3,7,CAR 40,0,7,"Daunte Culpepper sacked by Mike Rucker for -2 yards. Daunte Culpepper fumbles (forced by Mike Rucker), ball out of bounds at CAR-42",1.880,0.460
3,12:53,4,9,CAR 42,0,7,"Kyle Richardson punts 27 yards, fair catch by Steve Smith",0.460,0.220
3,12:50,1,10,CAR 15,0,7,Rodney Peete pass complete to Steve Smith for 9 yards (tackle by Henri Crockett and Lemanski Hall),-0.220,0.620
3,12:12,2,1,CAR 24,0,7,Lamar Smith middle for -3 yards (tackle by Fred Robbins),0.620,-0.630
3,11:26,3,4,CAR 21,0,7,Rodney Peete sacked by Kenny Mixon for -2 yards,-0.630,-2.140
3,10:59,4,6,CAR 19,0,7,"Todd Sauerbrun punts 58 yards, returned by Nick Davis for 10 yards (tackle by Brad Hoover). Penalty on Nick Rogers: Low Block, 15 yards",-2.140,-0.040
3,10:45,1,10,MIN 18,0,7,Doug Chapman right guard for 2 yards (tackle by Kris Jenkins),0.040,-0.130
3,10:11,2,8,MIN 20,0,7,Michael Bennett left end for 1 yard (tackle by Mike Rucker and Kris Jenkins),-0.130,-0.790
3,9:26,3,7,MIN 21,0,7,Daunte Culpepper pass complete to Moe Williams for 5 yards (tackle by Mark Fields),-0.790,-1.630
3,8:48,4,2,MIN 26,0,7,"Kyle Richardson punts 35 yards, returned by Steve Smith for 2 yards (tackle by Chris Walsh)",-1.630,-1.660
3,8:34,1,10,CAR 41,0,7,Rodney Peete pass complete to Muhsin Muhammad for 25 yards (tackle by Tyrone Carter),1.660,3.310
3,8:34,1,10,MIN 34,0,7,Rodney Peete pass incomplete intended for Steve Smith,3.310,2.770
3,8:08,2,10,MIN 34,0,7,Lamar Smith left tackle for 2 yards (tackle by Chris Hovan),2.770,2.350
3,7:40,3,8,MIN 32,0,7,"Penalty on Todd Steussie: False Start, 5 yards (no play)",2.350,1.690
3,7:11,3,13,MIN 37,0,7,Rodney Peete pass incomplete intended for Kris Mangum,1.690,0.790
3,7:04,4,13,MIN 37,0,7,"Todd Sauerbrun punts 26 yards, fair catch by Nick Davis",0.790,0.370
3,6:56,1,10,MIN 11,0,7,Michael Bennett right end for 1 yard (tackle by Emmanuel McDaniel),-0.370,-0.710
3,6:09,2,9,MIN 12,0,7,Daunte Culpepper pass incomplete intended for Randy Moss is intercepted by Deon Grant at MIN-28,-0.710,-3.710
3,6:01,1,10,MIN 28,0,7,Lamar Smith right end for 14 yards (tackle by Jim Nelson),3.710,4.650
3,5:20,1,10,MIN 14,6,7,"Rodney Peete pass complete to Steve Smith for 14 yards, touchdown",4.650,7.000
3,5:20,,,MIN 14,7,7,Jon Hilbert kicks extra point good,0.000,0.000
3,5:20,,,CAR 30,7,7,"Todd Sauerbrun kicks off 68 yards, returned by Nick Davis for 16 yards (tackle by Brian Allen)",0.000,0.040
3,5:08,1,10,MIN 18,7,7,"Penalty on Mike Rucker: Neutral Zone Infraction, 5 yards (no play)",0.040,0.880
3,5:08,1,5,MIN 23,7,7,Daunte Culpepper pass incomplete intended for D'Wayne Bates,0.880,0.280
3,5:00,2,5,MIN 23,7,7,"Penalty on MIN: Illegal Substitution, 5 yards (no play)",0.280,-0.490
3,5:00,2,10,MIN 18,7,7,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Brentson Buckner),-0.490,-1.170
3,4:56,3,10,MIN 18,7,7,Daunte Culpepper pass complete to Moe Williams for 20 yards (tackle by Julius Peppers),-1.170,1.470
3,4:08,1,10,MIN 38,7,7,Moe Williams middle for no gain (tackle by Al Wallace and Hannibal Navies),1.470,0.920
3,3:25,2,10,MIN 38,7,7,Daunte Culpepper sacked by Sean Gilbert for -9 yards. Penalty on David Dixon: Offensive Holding (Declined),0.920,-0.960
3,3:01,3,19,MIN 29,7,7,Daunte Culpepper right end for 17 yards (tackle by Kris Jenkins),-0.960,-0.320
3,2:16,4,2,MIN 46,7,7,"Kyle Richardson punts 54 yards, touchback",-0.320,-0.280
3,2:06,1,10,CAR 20,7,7,Lamar Smith middle for 6 yards (tackle by Fred Robbins and Greg Biekert),0.280,0.540
3,2:06,2,4,CAR 26,7,7,Lamar Smith right tackle for 9 yards (tackle by Brian Russell),0.540,1.270
3,0:42,1,10,CAR 35,7,7,Nick Goings right end for 1 yard (tackle by Lemanski Hall),1.270,0.860
Quarter,Time,Down,ToGo,Location,CAR,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,CAR 36,7,7,Rodney Peete pass complete to Wesley Walls for 20 yards (tackle by Greg Biekert),0.860,2.650
4,14:21,1,10,MIN 44,7,7,Rodney Peete pass complete to Steve Smith for 32 yards (tackle by Ronnie Bradford),2.650,4.780
4,13:33,1,10,MIN 12,13,7,"Lamar Smith left tackle for 12 yards, touchdown",4.780,7.000
4,13:33,,,MIN 12,14,7,Jon Hilbert kicks extra point good,0.000,0.000
4,13:33,,,CAR 30,14,7,"Todd Sauerbrun kicks off 61 yards, returned by Doug Chapman for 15 yards (tackle by Rod Smart)",0.000,0.540
4,13:22,1,10,MIN 24,14,7,Daunte Culpepper pass complete to D'Wayne Bates for 10 yards (tackle by Reggie Howard),0.540,1.200
4,12:44,1,10,MIN 34,14,7,"Daunte Culpepper pass complete to Michael Bennett for 10 yards (tackle by Mark Fields). Michael Bennett fumbles (forced by Mark Fields), recovered by Reggie Howard at MIN-48 (tackle by Michael Bennett)",1.200,-2.390
4,12:36,1,10,MIN 48,14,7,Lamar Smith middle for 7 yards (tackle by Ronnie Bradford and Jim Nelson),2.390,2.790
4,11:58,2,3,MIN 41,14,7,Lamar Smith middle for 6 yards (tackle by Ronnie Bradford),2.790,3.250
4,11:19,1,10,MIN 35,14,7,Rodney Peete sacked by Lance Johnstone for -7 yards,3.250,1.760
4,10:48,2,17,MIN 42,14,7,Rodney Peete pass incomplete intended for Brad Hoover,1.760,1.090
4,10:43,3,17,MIN 42,14,7,Rodney Peete pass complete to Isaac Byrd for 19 yards (tackle by Brian Russell and Corey Chavous),1.090,4.040
4,9:58,1,10,MIN 23,14,7,Lamar Smith middle for 5 yards (tackle by Kenny Mixon and Darius Holland),4.040,4.210
4,9:11,2,5,MIN 18,14,7,Lamar Smith middle for -1 yards (tackle by Kenny Mixon),4.210,3.340
4,8:26,3,6,MIN 19,14,7,"Penalty on Kevin Donnalley: False Start, 5 yards (no play)",3.340,2.680
4,8:02,3,11,MIN 24,20,7,"Lamar Smith left tackle for 24 yards, touchdown",2.680,7.000
4,8:02,,,MIN 24,21,7,Jon Hilbert kicks extra point good,0.000,0.000
4,8:02,,,CAR 30,21,7,"Todd Sauerbrun kicks off 68 yards, returned by Nick Davis for 19 yards (tackle by Karl Hankton). Penalty on Harold Morrow: Offensive Holding, 10 yards",0.000,-0.370
4,7:47,1,10,MIN 11,21,7,Daunte Culpepper pass complete to Randy Moss for 6 yards,-0.370,-0.160
4,7:21,2,4,MIN 17,21,7,Daunte Culpepper left end for 11 yards (tackle by Reggie Howard),-0.160,0.810
4,6:51,1,10,MIN 28,21,7,"Penalty on Lewis Kelly: False Start, 5 yards (no play)",0.810,0.480
4,6:42,1,15,MIN 23,21,7,Daunte Culpepper pass complete to D'Wayne Bates for 18 yards (tackle by Dan Morgan),0.480,1.660
4,6:16,1,10,MIN 41,21,7,Daunte Culpepper pass complete to Hunter Goodwin for 5 yards (tackle by Mark Fields),1.660,1.800
4,5:49,2,5,MIN 46,21,7,Daunte Culpepper pass complete to Derrick Alexander for 12 yards (tackle by Emmanuel McDaniel),1.800,2.790
4,5:14,1,10,CAR 42,21,7,Daunte Culpepper pass complete to Randy Moss for 2 yards (tackle by Reggie Howard),2.790,2.510
4,4:46,2,8,CAR 40,21,7,Daunte Culpepper pass complete to Moe Williams for 36 yards (tackle by Mike Minter),2.510,6.280
4,4:04,1,4,CAR 4,21,7,Daunte Culpepper sacked by Mike Rucker for 0 yards,6.280,5.340
4,3:32,2,4,CAR 4,21,13,"Daunte Culpepper pass complete to Chris Walsh for 4 yards, touchdown",5.340,7.000
4,3:32,,,CAR 4,21,14,"Gary Anderson kicks extra point no good, blocked by Terry Cousin. Penalty on Terry Cousin: Defensive Offside, 1 yards (no play)",0.000,0.000
4,3:32,,,CAR 4,21,14,Gary Anderson kicks extra point good,0.000,0.000
4,3:32,,,MIN 30,21,14,"Doug Brien kicks off 67 yards, returned by Steve Smith for 24 yards (tackle by Jack Brewer)",0.000,-0.740
4,3:22,1,10,CAR 27,21,14,Lamar Smith left guard for no gain (tackle by Ronnie Bradford),0.740,0.200
4,3:16,1,10,CAR 27,,,Timeout #1 by Minnesota Vikings,0.740,0.200
4,3:16,2,10,CAR 27,21,14,Lamar Smith right guard for 6 yards (tackle by Chris Hovan),0.200,0.300
4,3:06,2,10,CAR 27,,,Timeout #2 by Minnesota Vikings,0.200,0.300
4,3:06,3,4,CAR 33,21,14,Nick Goings middle for 2 yards (tackle by Lance Johnstone and Lorenzo Bromell),0.300,-1.040
4,2:31,4,2,CAR 35,21,14,Todd Sauerbrun punts 43 yards,-1.040,-0.410
4,2:16,1,10,MIN 22,21,14,Daunte Culpepper pass incomplete intended for Derrick Alexander (defended by Reggie Howard),0.410,-0.130
4,2:11,2,10,MIN 22,21,14,Daunte Culpepper pass complete to Randy Moss for 3 yards (tackle by Emmanuel McDaniel),-0.130,-0.430
4,2:00,3,7,MIN 25,21,14,Daunte Culpepper pass incomplete intended for Randy Moss,-0.430,-1.700
4,1:56,4,7,MIN 25,21,14,Daunte Culpepper middle for 1 yard (tackle by Al Wallace),-1.700,-3.840
4,1:49,1,10,MIN 26,21,14,Lamar Smith right end for no gain (tackle by Ronnie Bradford),3.840,3.300
4,1:38,1,10,MIN 26,,,Timeout #3 by Minnesota Vikings,3.840,3.300
4,1:38,2,10,MIN 26,21,14,Lamar Smith middle for 7 yards (tackle by Ronnie Bradford),3.300,3.570
4,0:52,3,3,MIN 19,21,14,Lamar Smith middle for -2 yards (tackle by Lorenzo Bromell and Chuck Wiley),3.570,2.110
4,0:08,3,3,MIN 19,,,Timeout #1 by Carolina Panthers,3.570,2.110
4,0:08,4,5,MIN 21,21,14,Jon Hilbert 39 yard field goal no good,2.110,-0.940
4,0:04,1,10,MIN 30,21,14,Daunte Culpepper pass incomplete is intercepted by Deon Grant at CAR-20 and returned for 10 yards,0.940,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
