Unnamed: 0,NWE,SFO
First Downs,28,20
Rush-Yds-TDs,30-171-0,27-122-0
Cmp-Att-Yd-TD-INT,24-40-280-4-0,16-30-206-2-0
Sacked-Yards,1-7,5-29
Net Pass Yards,273,177
Total Yards,444,299
Fumbles-Lost,1-0,5-0
Turnovers,0,0
Penalties-Yards,5-40,10-68
Third Down Conv.,8-16,5-14
Fourth Down Conv.,1-1,0-0
Time of Possession,29:12,30:48
