Quarter,Time,Down,ToGo,Location,NWE,SFO,Detail,EPB,EPA
1,0:15,3,1,SFO 11,6,3,LeGarrette Blount left tackle for 2 yards (tackle by Glenn Dorsey),4.590,0.000
1,,,,,6,3,Timeout #1 by,0.000,-5.140
Quarter,Time,Down,ToGo,Location,NWE,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,9,SFO 9,12,3,"Tom Brady pass complete short left to James White for 9 yards, touchdown",5.140,7.000
2,14:53,,,SFO 15,13,3,Stephen Gostkowski kicks extra point good,0.000,0.000
2,14:53,,,NWE 35,13,3,"Stephen Gostkowski kicks off 58 yards, returned by JaCorey Shepherd for 10 yards (tackle by Patrick Chung)",0.000,0.060
2,14:43,1,10,SFO 17,13,3,Colin Kaepernick pass complete short middle to Garrett Celek for 11 yards (tackle by Patrick Chung),-0.060,0.810
2,14:06,1,10,SFO 28,13,3,Carlos Hyde middle for 12 yards (tackle by Duron Harmon),0.810,1.600
2,13:40,1,10,SFO 40,13,3,Colin Kaepernick pass incomplete short left intended for Quinton Patton,1.600,1.050
2,13:34,2,10,SFO 40,13,3,DuJuan Harris left tackle for 2 yards (tackle by Chris Long and Elandon Roberts),1.050,0.630
2,12:55,3,8,SFO 42,13,3,Colin Kaepernick sacked for -8 yards,0.630,-1.110
2,12:26,4,16,SFO 34,13,3,"Bradley Pinion punts 37 yards, fair catch by Danny Amendola",-1.110,-0.870
2,12:18,1,10,NWE 29,13,3,Dion Lewis left end for 5 yards (tackle by Michael Wilhoite and Ronald Blair),0.870,1.000
2,11:44,2,5,NWE 34,13,3,Tom Brady pass complete short right to Dion Lewis for 9 yards (tackle by DeForest Buckner),1.000,1.800
2,11:01,1,10,NWE 43,13,3,Tom Brady pass complete short left to Malcolm Mitchell for 13 yards (tackle by Jimmie Ward),1.800,2.650
2,10:26,1,10,SFO 44,13,3,LeGarrette Blount right guard for 4 yards (tackle by Antoine Bethea),2.650,2.650
2,9:48,2,6,SFO 40,13,3,"Tom Brady pass incomplete short right intended for Martellus Bennett. Penalty on Jimmie Ward: Defensive Offside, 5 yards (no play)",2.650,3.330
2,9:38,2,1,SFO 35,13,3,"LeGarrette Blount middle for 35 yards. Penalty on Nate Solder: Offensive Holding, 10 yards (no play)",3.330,1.980
2,9:31,2,11,SFO 45,13,3,"Tom Brady pass incomplete. Penalty on Tom Brady: Intentional Grounding, 10 yards",1.980,-0.030
2,9:27,3,21,NWE 45,13,3,Tom Brady pass complete short left to Julian Edelman for 9 yards (tackle by Nick Bellore),-0.030,0.200
2,9:21,4,12,SFO 46,13,3,Ryan Allen punts 38 yards,0.200,0.380
2,9:13,1,10,SFO 8,13,3,Carlos Hyde middle for 7 yards (tackle by Malcom Brown),-0.380,-0.210
2,8:38,2,3,SFO 15,13,3,Colin Kaepernick pass complete short left to Quinton Patton for 7 yards (tackle by Eric Rowe),-0.210,0.410
2,7:59,1,10,SFO 22,13,3,Carlos Hyde middle for 6 yards (tackle by Patrick Chung),0.410,0.680
2,7:30,2,4,SFO 28,13,3,Colin Kaepernick pass complete short left to Carlos Hyde for 12 yards (tackle by Logan Ryan),0.680,1.600
2,6:56,1,10,SFO 40,13,3,Colin Kaepernick middle for 17 yards (tackle by Devin McCourty),1.600,2.720
2,6:20,1,10,NWE 43,13,3,Colin Kaepernick pass complete short left to Garrett Celek for 19 yards (tackle by Shea McClellin),2.720,0.000
2,5:46,,,,13,3,Timeout #2 by New England Patriots,0.000,-3.970
2,5:46,1,10,NWE 24,13,3,Carlos Hyde right guard for 1 yard (tackle by Trey Flowers and Alan Branch),3.970,3.570
2,5:13,2,9,NWE 23,13,3,"Colin Kaepernick pass incomplete. Penalty on Logan Ryan: Defensive Holding, 5 yards (no play)",3.570,4.370
2,5:03,1,10,NWE 18,13,9,"Colin Kaepernick pass complete deep right to Vance McDonald for 18 yards, touchdown",4.370,7.000
2,4:56,,,NWE 15,13,10,Phil Dawson kicks extra point good,0.000,0.000
2,4:56,,,SFO 35,13,10,"Phil Dawson kicks off 54 yards, returned by James Develin for 14 yards (tackle by JaCorey Shepherd). Penalty on Rod Streater: Low Block, 15 yards, Penalty on Shayne Skov: Offside on Free Kick (Declined)",0.000,-1.600
2,4:48,1,10,NWE 40,13,10,Tom Brady pass incomplete deep right intended for Julian Edelman,1.600,1.050
2,4:46,2,10,NWE 40,13,10,"Penalty on Nate Solder: False Start, 5 yards (no play)",1.050,0.380
2,4:46,2,15,NWE 35,13,10,Tom Brady pass incomplete short middle intended for Julian Edelman,0.380,-0.300
2,4:43,3,15,NWE 35,13,10,Tom Brady sacked by Ahmad Brooks for -7 yards,-0.300,-1.500
2,4:07,4,22,NWE 28,13,10,"Ryan Allen punts 33 yards, out of bounds",-1.500,-1.530
2,4:00,1,10,SFO 39,13,10,Carlos Hyde left tackle for 1 yard (tackle by Vincent Valentine),1.530,1.120
2,3:20,2,9,SFO 40,13,10,"Colin Kaepernick sacked by Rob Ninkovich for 0 yards. Colin Kaepernick fumbles (forced by Rob Ninkovich), recovered by Trenton Brown at SFO-41",1.120,0.560
2,2:29,3,8,SFO 41,13,10,Colin Kaepernick pass complete short left to Shaun Draughn for 4 yards (tackle by Patrick Chung),0.560,-0.390
2,2:00,4,4,SFO 45,13,10,"Bradley Pinion punts 31 yards, muffed catch by Danny Amendola, recovered by Danny Amendola and returned for no gain",-0.390,-0.740
2,1:48,1,10,NWE 27,13,10,"LeGarrette Blount middle for 1 yard (tackle by DeForest Buckner). Penalty on Ahmad Brooks: Defensive Offside, 5 yards (no play)",0.740,1.470
2,1:43,1,5,NWE 32,13,10,LeGarrette Blount middle for 7 yards (tackle by Tramaine Brock),1.470,1.530
2,1:11,1,10,NWE 39,13,10,LeGarrette Blount middle for 1 yard (tackle by Ahmad Brooks),1.530,1.120
2,0:48,2,9,NWE 40,13,10,Tom Brady pass complete short left to James White for no gain,1.120,0.430
2,0:27,3,9,NWE 40,13,10,Dion Lewis for 12 yards (tackle by Antoine Bethea),0.430,0.000
2,0:27,,,,13,10,Timeout #1 by San Francisco 49ers,0.000,-2.390
2,0:21,1,10,SFO 48,13,10,Tom Brady middle for 3 yards (tackle by DeForest Buckner and Eli Harold),2.390,0.000
2,0:13,,,,13,10,Timeout #3 by New England Patriots,0.000,-2.250
2,0:13,2,7,SFO 45,13,10,Tom Brady pass complete short middle to Julian Edelman for 4 yards (tackle by Nick Bellore),2.250,2.080
2,0:02,3,3,SFO 41,13,10,Tom Brady spiked the ball,2.080,0.530
2,0:01,4,3,SFO 41,13,10,Tom Brady pass complete short left to James White for 25 yards (tackle by Rashard Robinson),0.530,1.200
Quarter,Time,Down,ToGo,Location,NWE,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,13,10,"Phil Dawson kicks off 63 yards, returned by Cyrus Jones for 20 yards (tackle by Michael Wilhoite)",0.000,-0.410
3,14:46,1,10,NWE 22,13,10,LeGarrette Blount left tackle for no gain (tackle by Nick Bellore),0.410,-0.130
3,14:21,2,10,NWE 22,13,10,Tom Brady pass incomplete deep left intended for Julian Edelman,-0.130,-0.820
3,14:13,3,10,NWE 22,13,10,Tom Brady pass complete short left to James White for 8 yards (tackle by Keith Reaser),-0.820,-1.370
3,13:35,4,2,NWE 30,13,10,"Ryan Allen punts 50 yards, muffed catch by Jeremy Kerley, ball out of bounds at SFO-20",-1.370,-0.280
3,13:27,1,10,SFO 20,13,10,Carlos Hyde middle for 9 yards (tackle by Patrick Chung),0.280,0.950
3,12:58,2,1,SFO 29,13,10,Carlos Hyde right tackle for 2 yards (tackle by Dont'a Hightower),0.950,1.000
3,12:23,1,10,SFO 31,13,10,Colin Kaepernick pass complete short middle to Vance McDonald for 4 yards (tackle by Dont'a Hightower),1.000,1.000
3,11:41,2,6,SFO 35,13,10,Colin Kaepernick right end for 4 yards (tackle by Devin McCourty),1.000,0.830
3,11:02,3,2,SFO 39,13,10,Colin Kaepernick pass incomplete short right intended for Jeremy Kerley (defended by Logan Ryan),0.830,-0.780
3,10:58,4,2,SFO 39,13,10,"Bradley Pinion punts 49 yards, returned by Danny Amendola for 17 yards (tackle by Shayne Skov). Penalty on Nate Ebner: Illegal Block Above the Waist, 10 yards",-0.780,-0.040
3,10:46,1,10,NWE 18,13,10,Tom Brady pass complete short left to Dion Lewis for 8 yards (tackle by Quinton Dial),0.040,0.680
3,10:05,2,2,NWE 26,13,10,LeGarrette Blount left end for no gain (tackle by Eli Harold),0.680,-0.140
3,9:33,3,2,NWE 26,13,10,Tom Brady right guard for 3 yards (tackle by Nick Bellore),-0.140,0.870
3,9:00,1,10,NWE 29,13,10,Dion Lewis middle for 1 yard (tackle by Ronald Blair),0.870,0.460
3,8:23,2,9,NWE 30,13,10,"Tom Brady sacked by Ahmad Brooks for -7 yards. Tom Brady fumbles (forced by Ahmad Brooks), recovered by Tom Brady at NWE-23. Penalty on Rashard Robinson: Defensive Holding, 5 yards, Penalty on SFO: Unsportsmanlike Conduct, 15 yards (no play)",0.460,2.260
3,7:41,1,10,,13,10,LeGarrette Blount middle for 3 yards (tackle by Quinton Dial),2.260,2.120
3,7:14,2,7,SFO 47,13,10,Tom Brady pass incomplete short left intended for Julian Edelman (defended by Nick Bellore),2.120,1.420
3,7:11,3,7,SFO 47,13,10,Tom Brady pass incomplete short middle intended for Julian Edelman (defended by Jimmie Ward),1.420,0.130
3,7:07,4,7,SFO 47,13,10,"Ryan Allen punts 47 yards, touchback",0.130,-0.280
3,6:57,1,10,SFO 20,13,10,Carlos Hyde middle for 5 yards (tackle by Alan Branch),0.280,0.410
3,6:23,2,5,SFO 25,13,10,Carlos Hyde middle for 5 yards (tackle by Patrick Chung),0.410,0.940
3,5:51,1,10,SFO 30,13,10,Colin Kaepernick pass complete deep middle to Vance McDonald for 24 yards (tackle by Duron Harmon),0.940,2.520
3,5:15,1,10,NWE 46,13,10,"Daniel Kilgore for no gain. Daniel Kilgore fumbles, recovered by Colin Kaepernick at NWE-47",2.520,1.980
3,5:10,2,10,NWE 46,13,10,Carlos Hyde middle for 1 yard (tackle by Chris Long and Devin McCourty),1.980,1.420
3,4:29,3,9,NWE 45,13,10,Colin Kaepernick pass incomplete short right intended for Vance McDonald,1.420,0.270
3,4:24,4,9,NWE 45,13,10,"Bradley Pinion punts 45 yards, touchback",0.270,-0.280
3,4:16,1,10,NWE 20,13,10,Dion Lewis right end for 1 yard (tackle by Tank Carradine and Keith Reaser),0.280,-0.130
3,3:35,2,9,NWE 21,13,10,Tom Brady pass incomplete deep left intended for Julian Edelman,-0.130,-0.820
3,3:28,3,9,NWE 21,13,10,Tom Brady pass complete deep middle to Malcolm Mitchell for 21 yards (tackle by Antoine Bethea),-0.820,1.730
3,2:44,1,10,NWE 42,13,10,Tom Brady pass complete short right to James White for 14 yards,1.730,2.650
3,1:58,1,10,SFO 44,13,10,Tom Brady pass complete short left to Martellus Bennett for 14 yards (tackle by Eric Reid),2.650,3.580
3,1:30,1,10,SFO 30,13,10,Tom Brady pass complete short left to Malcolm Mitchell for 8 yards (tackle by Jimmie Ward),3.580,4.110
3,0:57,2,2,SFO 22,13,10,Tom Brady pass incomplete deep right intended for Danny Amendola,4.110,3.400
3,0:51,3,2,SFO 22,13,10,Tom Brady pass complete short right to Julian Edelman for 13 yards (tackle by Nick Bellore),3.400,5.140
3,0:13,1,9,SFO 9,13,10,Dion Lewis middle for 4 yards (tackle by Nick Bellore),5.140,5.150
Quarter,Time,Down,ToGo,Location,NWE,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,SFO 5,19,10,"Tom Brady pass complete short middle to Danny Amendola for 5 yards, touchdown",5.150,7.000
4,14:55,,,SFO 15,20,10,Stephen Gostkowski kicks extra point good,0.000,0.000
4,14:55,,,NWE 35,20,10,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
4,14:55,1,10,SFO 25,20,10,Colin Kaepernick pass incomplete short right intended for Aaron Burbridge,0.610,0.060
4,14:47,2,10,SFO 25,20,10,Carlos Hyde left tackle for 4 yards (tackle by Alan Branch),0.060,-0.100
4,14:12,3,6,SFO 29,20,10,Colin Kaepernick pass incomplete deep right intended for Jeremy Kerley (defended by Eric Rowe),-0.100,-1.440
4,14:07,4,6,SFO 29,20,10,"Bradley Pinion punts 41 yards, returned by Cyrus Jones for no gain",-1.440,-0.940
4,13:57,1,10,NWE 30,20,10,LeGarrette Blount left guard for 1 yard (tackle by Eli Harold and DeForest Buckner),0.940,0.530
4,13:21,2,9,NWE 31,20,10,Tom Brady pass incomplete short left intended for Dion Lewis,0.530,-0.160
4,13:16,3,9,NWE 31,20,10,Tom Brady pass incomplete deep right intended for Julian Edelman,-0.160,-1.310
4,13:11,4,9,NWE 31,20,10,"Ryan Allen punts 48 yards, returned by Jeremy Kerley for 9 yards (tackle by Jonathan Jones)",-1.310,-0.940
4,13:02,1,10,SFO 30,20,10,Colin Kaepernick pass incomplete deep right intended for Vance McDonald,0.940,0.390
4,12:56,2,10,SFO 30,20,10,Colin Kaepernick right end for -3 yards (tackle by Trey Flowers),0.390,-0.690
4,12:13,3,13,SFO 27,20,10,Colin Kaepernick pass incomplete short left intended for Vance McDonald,-0.690,-1.570
4,12:08,4,13,SFO 27,20,10,"Bradley Pinion punts 43 yards, fair catch by Cyrus Jones",-1.570,-0.940
4,12:01,1,10,NWE 30,20,10,Tom Brady pass incomplete deep left intended for Julian Edelman (defended by Keith Reaser),0.940,0.390
4,11:53,2,10,NWE 30,20,10,Tom Brady pass complete short right to James White for 7 yards (tackle by Ronald Blair),0.390,0.630
4,11:26,3,3,NWE 37,20,10,"Tom Brady pass complete short left to James White for 4 yards (tackle by Jimmie Ward and Tramaine Brock). Penalty on Ahmad Brooks: Defensive Offside, 5 yards (no play)",0.630,1.730
4,10:55,1,10,NWE 42,20,10,LeGarrette Blount right guard for 2 yards (tackle by Tank Carradine),1.730,1.460
4,10:19,2,8,NWE 44,20,10,Tom Brady pass incomplete short right intended for Martellus Bennett,1.460,0.760
4,10:16,3,8,NWE 44,26,10,"Tom Brady pass complete deep right to Malcolm Mitchell for 56 yards, touchdown",0.760,7.000
4,10:06,,,SFO 15,27,10,Stephen Gostkowski kicks extra point good,0.000,0.000
4,10:06,,,NWE 35,27,10,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
4,10:06,1,10,SFO 25,27,10,Carlos Hyde middle for 1 yard,0.610,0.200
4,9:33,2,9,SFO 26,27,10,Colin Kaepernick pass incomplete deep right intended for Jeremy Kerley,0.200,-0.490
4,9:27,3,9,SFO 26,27,10,Colin Kaepernick pass incomplete deep right intended for Quinton Patton (defended by Logan Ryan),-0.490,-1.630
4,9:22,4,9,SFO 26,27,10,"Bradley Pinion punts 44 yards, fair catch by Cyrus Jones",-1.630,-0.940
4,9:15,1,10,NWE 30,27,10,Tom Brady pass complete short left to Julian Edelman for 21 yards (tackle by Eric Reid),0.940,2.320
4,8:44,1,10,SFO 49,27,10,LeGarrette Blount left tackle for 20 yards (tackle by Jimmie Ward),2.320,3.640
4,8:14,1,10,SFO 29,27,10,Julian Edelman left end for 5 yards (tackle by Eric Reid),3.640,3.780
4,7:39,2,5,SFO 24,27,10,Julian Edelman left end for 7 yards (tackle by Jimmie Ward),3.780,4.440
4,7:01,1,10,SFO 17,27,10,Tom Brady pass incomplete short left intended for Malcolm Mitchell,4.440,3.850
4,6:57,2,10,SFO 17,27,10,Tom Brady pass incomplete deep right intended for Julian Edelman,3.850,3.070
4,6:52,3,10,SFO 17,27,10,Tom Brady pass complete short right to Danny Amendola for -3 yards (tackle by Tramaine Brock),3.070,2.120
4,6:16,4,13,SFO 20,30,10,Stephen Gostkowski 38 yard field goal good,2.120,3.000
4,6:11,,,NWE 35,30,10,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
4,6:11,1,10,SFO 25,30,10,Colin Kaepernick pass incomplete short right intended for Jeremy Kerley,0.610,0.060
4,6:11,2,10,SFO 25,30,10,"Penalty on Trenton Brown: False Start, 5 yards (no play)",0.060,-0.610
4,6:03,2,15,SFO 20,30,10,Colin Kaepernick pass complete short middle to Quinton Patton for 10 yards (tackle by Devin McCourty),-0.610,0.040
4,5:35,3,5,SFO 30,30,10,Colin Kaepernick middle for 14 yards (tackle by Eric Rowe),0.040,1.860
4,5:03,1,10,SFO 44,30,10,Colin Kaepernick pass complete short left to Carlos Hyde for 9 yards (tackle by Devin McCourty),1.860,2.530
4,4:25,2,1,NWE 47,30,10,Carlos Hyde right guard for 4 yards,2.530,2.720
4,3:59,1,10,NWE 43,30,10,Colin Kaepernick pass incomplete short left intended for Jeremy Kerley,2.720,2.180
4,3:56,2,10,NWE 43,30,10,Colin Kaepernick pass incomplete deep middle intended for Rod Streater,2.180,1.490
4,3:51,3,10,NWE 43,30,10,Colin Kaepernick pass complete short left to Chris Harper for 16 yards (tackle by Malcolm Butler),1.490,3.780
4,3:21,1,10,NWE 27,30,10,Colin Kaepernick pass incomplete deep left intended for Quinton Patton,3.780,3.230
4,3:14,2,10,NWE 27,30,10,Colin Kaepernick pass complete short right to Carlos Hyde for 3 yards (tackle by Logan Ryan and Patrick Chung),3.230,2.940
4,2:35,3,7,NWE 24,30,10,Colin Kaepernick pass complete short right to Garrett Celek for 11 yards (tackle by Patrick Chung and Shea McClellin),2.940,0.000
4,2:10,,,,30,10,Timeout #1 by New England Patriots,0.000,-4.710
4,2:10,1,10,NWE 13,30,16,"Colin Kaepernick pass complete short right to Shaun Draughn for 13 yards, touchdown",4.710,7.000
4,2:06,,,NWE 15,30,17,Phil Dawson kicks extra point good,0.000,0.000
4,2:06,,,SFO 35,30,17,"Phil Dawson kicks onside 15 yards, recovered by Danny Amendola and returned for 2 yards",0.000,-2.390
4,2:01,1,10,SFO 48,30,17,LeGarrette Blount middle for 7 yards (tackle by Tank Carradine),2.390,2.790
4,1:55,2,3,SFO 41,30,17,"LeGarrette Blount right guard for 3 yards (tackle by Eli Harold). Penalty on Eli Harold: Defensive Offside, 5 yards (no play)",2.790,3.180
4,1:51,1,10,SFO 36,30,17,LeGarrette Blount right end for 18 yards (tackle by Glenn Dorsey),3.180,0.000
4,1:40,,,,30,17,Timeout #1 by San Francisco 49ers,0.000,-4.370
4,1:40,1,10,SFO 18,30,17,LeGarrette Blount right end for 11 yards (tackle by Eric Reid),4.370,0.000
4,1:34,,,,30,17,Timeout #2 by San Francisco 49ers,0.000,-5.600
4,1:34,1,7,SFO 7,30,17,"LeGarrette Blount right tackle for 1 yard (tackle by Tony Jerod-Eddie and Gerald Hodges). Penalty on Eli Harold: Unnecessary Roughness, 3 yards",5.600,6.510
4,1:28,1,3,SFO 3,30,17,LeGarrette Blount middle for 1 yard (tackle by Gerald Hodges),6.510,0.000
4,1:23,,,,30,17,Timeout #3 by San Francisco 49ers,0.000,-5.720
4,1:23,2,2,SFO 2,30,17,LeGarrette Blount right tackle for -1 yards (tackle by Nick Bellore and Jaquiski Tartt),5.720,4.720
4,0:34,3,3,SFO 3,30,17,Tom Brady kneels for -1 yards,4.720,3.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
