Quarter,Time,Tm,Detail,NWE,SFO
1.0,10:10,Patriots,Julian Edelman 4 yard pass from Tom Brady (Stephen Gostkowski kick failed),6,0
,2:40,49ers,Phil Dawson 33 yard field goal,6,3
2.0,14:53,Patriots,James White 9 yard pass from Tom Brady (Stephen Gostkowski kick),13,3
,4:56,49ers,Vance McDonald 18 yard pass from Colin Kaepernick (Phil Dawson kick),13,10
4.0,14:55,Patriots,Danny Amendola 5 yard pass from Tom Brady (Stephen Gostkowski kick),20,10
,10:06,Patriots,Malcolm Mitchell 56 yard pass from Tom Brady (Stephen Gostkowski kick),27,10
,6:11,Patriots,Stephen Gostkowski 38 yard field goal,30,10
,2:06,49ers,Shaun Draughn 13 yard pass from Colin Kaepernick (Phil Dawson kick),30,17
