Quarter,Time,Tm,Detail,TEN,TAM
2.0,6:07,Buccaneers,Matt Bryant 23 yard field goal,0,3
3.0,7:52,Titans,Rob Bironas 48 yard field goal,3,3
,2:29,Buccaneers,Joey Galloway 69 yard pass from Jeff Garcia (Matt Bryant kick),3,10
4.0,1:17,Titans,LenDale White 2 yard rush (Rob Bironas kick),10,10
,0:11,Buccaneers,Matt Bryant 43 yard field goal,10,13
