Quarter,Time,Down,ToGo,Location,TEN,TAM,Detail,EPB,EPA
1,6:03,1,10,TEN 32,0,0,LenDale White up the middle for 3 yards (tackle by Cato June and Jovan Haye),1.070,0.930
1,5:25,2,7,TEN 35,0,0,LenDale White up the middle for 4 yards (tackle by Barrett Ruud and Derrick Brooks),0.930,0.760
1,4:45,3,3,TEN 39,0,0,"Vince Young pass incomplete short left intended for Roydell Williams. Penalty on Ronde Barber: Defensive Holding, 5 yards (no play)",0.760,1.860
1,4:38,1,10,TEN 44,0,0,LenDale White right guard for 3 yards (tackle by Jermaine Phillips and Cato June),1.860,1.720
1,3:59,2,7,TEN 47,0,0,Vince Young pass complete short left to Eric Moulds for 3 yards (tackle by Cato June),1.720,1.420
1,3:18,3,4,,0,0,Vince Young sacked by Gaines Adams for -4 yards,1.420,-0.320
1,2:46,4,8,TEN 46,0,0,"Craig Hentrich punts 44 yards, returned by Mark Jones for 7 yards (tackle by Casey Cramer)",-0.320,0.060
1,2:32,1,10,TAM 17,0,0,Earnest Graham right tackle for 2 yards (tackle by David Thornton),-0.060,-0.250
1,2:00,2,8,TAM 19,0,0,Jeff Garcia pass complete short right to B.J. Askew for 17 yards (tackle by Kyle Vanden Bosch),-0.250,1.330
1,1:12,1,10,TAM 36,0,0,Jeff Garcia pass complete short left to Joey Galloway for 8 yards (tackle by Ryan Fowler),1.330,1.870
1,0:30,2,2,TAM 44,0,0,Earnest Graham left end for 10 yards (tackle by Cortland Finnegan),1.870,2.520
Quarter,Time,Down,ToGo,Location,TEN,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 46,0,0,"Penalty on Joey Galloway: False Start, 5 yards (no play)",2.520,2.190
2,15:00,1,15,TAM 49,0,0,Jeff Garcia pass complete short left to Joey Galloway for 6 yards,2.190,2.110
2,14:35,2,9,TEN 45,0,0,Jeff Garcia pass complete short middle to Earnest Graham for 6 yards (tackle by Chris Hope),2.110,2.210
2,14:35,,,,0,0,Timeout #1 by Tampa Bay Buccaneers,0.000,2.210
2,13:54,3,3,TEN 39,0,0,Jeff Garcia pass incomplete short middle intended for Ike Hilliard,2.210,0.660
2,13:49,4,3,TEN 39,0,0,"Josh Bidwell punts 39 yards, touchback",0.660,-0.280
2,13:41,1,10,TEN 20,0,0,Chris Brown left end for 8 yards (tackle by Jovan Haye),0.280,0.810
2,13:02,2,2,TEN 28,0,0,Chris Brown up the middle for 3 yards (tackle by Jovan Haye and Cato June),0.810,1.000
2,12:28,1,10,TEN 31,0,0,Vince Young pass complete deep middle to Justin Gage for 23 yards (tackle by Tanard Jackson),1.000,2.520
2,11:49,1,10,TAM 46,0,0,Chris Brown right tackle for 9 yards (tackle by Tanard Jackson),2.520,3.190
2,11:10,2,1,TAM 37,0,0,Vince Young pass complete short right to Justin Gage for 5 yards (tackle by Phillip Buchanon),3.190,3.450
2,10:35,1,10,TAM 32,0,0,"Vince Young for no gain. Vince Young fumbles, recovered by Patrick Chukwurah at TAM-36 (tackle by Chris Brown)",3.450,-1.330
2,10:26,1,10,TAM 36,0,0,Jeff Garcia pass complete short middle to B.J. Askew for 14 yards (tackle by Albert Haynesworth),1.330,2.260
2,9:44,1,10,,0,0,Earnest Graham right end for 2 yards (tackle by Nick Harper),2.260,1.980
2,9:00,2,8,TEN 48,0,0,Jeff Garcia pass complete short right to Earnest Graham for -3 yards (tackle by Nick Harper),1.980,0.890
2,8:19,3,11,TAM 49,0,0,Jeff Garcia pass complete deep right to Michael Clayton for 39 yards (tackle by Calvin Lowry),0.890,4.780
2,7:33,,,,0,0,Timeout #2 by Tampa Bay Buccaneers,0.000,4.780
2,7:33,1,10,TEN 12,0,0,Jeff Garcia pass incomplete short right intended for Earnest Graham,4.780,4.100
2,7:29,2,10,TEN 12,0,0,Earnest Graham up the middle for 2 yards (tackle by David Thornton),4.100,3.480
2,6:54,3,8,TEN 10,0,0,Jeff Garcia pass complete short middle to Earnest Graham for 5 yards (tackle by Keith Bulluck),3.480,3.020
2,6:11,4,3,TEN 5,0,3,Matt Bryant 23 yard field goal good,3.020,3.000
2,,,,TAM 30,0,3,"Matt Bryant kicks off 71 yards, returned by Michael Griffin for 18 yards (tackle by Ryan Nece). Penalty on Donnie Nickey: Illegal Block Above the Waist, 9 yards",0.000,-0.380
2,5:58,1,10,TEN 8,0,3,Vince Young left guard for 4 yards (tackle by Cato June and Greg Spires),-0.380,-0.490
2,5:17,2,6,TEN 12,0,3,Chris Brown up the middle for 1 yard (tackle by Tanard Jackson),-0.490,-0.840
2,4:38,3,5,TEN 13,0,3,Vince Young pass complete short left to Roydell Williams for 12 yards (tackle by Ronde Barber),-0.840,0.610
2,4:02,1,10,TEN 25,0,3,Vince Young pass complete short right to Ben Hartsock for 16 yards (tackle by Derrick Brooks),0.610,1.660
2,3:24,1,10,TEN 41,0,3,Chris Brown up the middle for 5 yards (tackle by Gaines Adams),1.660,1.800
2,2:51,2,5,TEN 46,0,3,LenDale White left guard for 4 yards (tackle by Greg Spires and Cato June),1.800,1.620
2,2:11,3,1,,0,3,"Penalty on Bo Scaife: False Start, 5 yards (no play)",1.620,0.960
2,2:00,3,6,TEN 45,0,3,Vince Young pass complete short middle to Eric Moulds for 10 yards (tackle by Phillip Buchanon),0.960,2.590
2,1:29,1,10,TAM 45,0,3,Vince Young pass incomplete deep right intended for Roydell Williams is intercepted by Phillip Buchanon at TAM-5 and returned for -1 yards,2.590,0.380
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,1:18,1,10,TAM 4,0,3,Earnest Graham up the middle for 1 yard (tackle by Keith Bulluck),-0.380,-0.710
2,1:13,,,,0,3,Timeout #1 by Tennessee Titans,0.000,-0.710
2,1:13,2,9,TAM 5,0,3,"Penalty on Albert Haynesworth: Encroachment, 5 yards (no play)",-0.710,-0.340
2,1:13,2,4,TAM 10,0,3,Earnest Graham left end for no gain (tackle by Tony Brown),-0.340,-0.720
2,1:06,,,,0,3,Timeout #2 by Tennessee Titans,0.000,-0.720
2,1:06,3,4,TAM 10,0,3,Earnest Graham left end for 5 yards (tackle by Cortland Finnegan),-0.720,-0.220
2,0:31,1,10,TAM 15,0,3,Jeff Garcia kneels for -1 yards,-0.220,-0.820
Quarter,Time,Down,ToGo,Location,TEN,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,0,3,"Matt Bryant kicks off 65 yards, returned by Michael Griffin for 20 yards (tackle by Patrick Chukwurah)",0.000,0.610
3,14:53,1,10,TEN 25,0,3,LenDale White left guard for 2 yards (tackle by Kevin Carter),0.610,0.330
3,14:20,2,8,TEN 27,0,3,LenDale White left tackle for 3 yards (tackle by Barrett Ruud and Greg Spires),0.330,0.040
3,13:40,3,5,TEN 30,0,3,Vince Young pass complete short left to Eric Moulds for 7 yards (tackle by Jermaine Phillips),0.040,1.400
3,13:06,1,10,TEN 37,0,3,LenDale White up the middle for 1 yard (tackle by Barrett Ruud),1.400,0.990
3,12:33,2,9,TEN 38,0,3,Vince Young pass complete short left to Roydell Williams for 12 yards (tackle by Sammy Davis),0.990,2.260
3,11:53,1,10,,0,3,Vince Young pass incomplete short right intended for Bo Scaife,2.260,1.710
3,11:42,2,10,,0,3,LenDale White right tackle for 3 yards (tackle by Barrett Ruud),1.710,1.420
3,11:01,3,7,TAM 47,0,3,Vince Young pass complete short middle to Roydell Williams for 8 yards (tackle by Phillip Buchanon),1.420,2.980
3,10:24,1,10,TAM 39,0,3,LenDale White left tackle for no gain (tackle by Derrick Brooks and Gaines Adams),2.980,2.440
3,9:40,2,10,TAM 39,0,3,"Vince Young pass complete short right to Bo Scaife for 6 yards (tackle by Gaines Adams). Penalty on Gaines Adams: Defensive Offside, 5 yards (no play)",2.440,3.120
3,9:17,2,5,TAM 34,0,3,LenDale White up the middle for 2 yards (tackle by Cato June and Gaines Adams),3.120,2.680
3,8:40,3,3,TAM 32,0,3,LenDale White left guard for 2 yards (tackle by Chris Hovan and Barrett Ruud),2.680,1.520
3,7:58,4,1,TAM 30,3,3,Rob Bironas 48 yard field goal good,1.520,3.000
3,,,,TEN 30,3,3,"Rob Bironas kicks off 64 yards, returned by Mark Jones for 33 yards (tackle by Rob Bironas)",0.000,1.530
3,7:43,1,10,TAM 39,3,3,Jeff Garcia pass incomplete short right intended for Alex Smith (defended by Antwan Odom),1.530,0.990
3,7:37,2,10,TAM 39,3,3,Jeff Garcia pass incomplete short middle intended for Earnest Graham,0.990,0.300
3,7:32,3,10,TAM 39,3,3,Jeff Garcia pass incomplete short middle intended for Michael Clayton,0.300,-0.780
3,7:24,4,10,TAM 39,3,3,"Josh Bidwell punts 46 yards, returned by Chris Davis for 10 yards (tackle by Kalvin Pearson)",-0.780,-0.610
3,7:11,1,10,TEN 25,3,3,Vince Young for 2 yards (tackle by Jovan Haye),0.610,0.330
3,6:54,2,8,TEN 27,3,3,Kerry Collins pass complete short left to Roydell Williams for 9 yards (tackle by Sammy Davis),0.330,1.330
3,6:20,1,10,TEN 36,3,3,LenDale White up the middle for 4 yards (tackle by Jovan Haye and Derrick Brooks),1.330,1.330
3,5:47,2,6,TEN 40,3,3,LenDale White left end for 2 yards (tackle by Cato June),1.330,0.890
3,5:09,3,4,TEN 42,3,3,"Penalty on Jacob Bell: False Start, 5 yards (no play)",0.890,0.230
3,4:51,3,9,TEN 37,3,3,Kerry Collins pass complete short right to Roydell Williams for 3 yards (tackle by Phillip Buchanon),0.230,-0.720
3,4:14,4,6,TEN 40,3,3,"Craig Hentrich punts 44 yards, returned by Mark Jones for 4 yards (tackle by Eric King)",-0.720,-0.280
3,3:59,1,10,TAM 20,3,3,Earnest Graham up the middle for 4 yards (tackle by Tony Brown),0.280,0.270
3,3:18,2,6,TAM 24,3,3,Jeff Garcia pass complete short right to Ike Hilliard for 7 yards (tackle by Vincent Fuller),0.270,1.000
3,2:43,1,10,TAM 31,3,9,"Jeff Garcia pass complete deep middle to Joey Galloway for 69 yards, touchdown",1.000,7.000
3,,,,TEN 2,3,10,Matt Bryant kicks extra point good,0.000,0.000
3,,,,TAM 30,3,10,"Matt Bryant kicks off 59 yards, returned by Michael Griffin for 17 yards (tackle by Torrie Cox)",0.000,0.810
3,2:22,1,10,TEN 28,3,10,Kerry Collins pass incomplete short right intended for Eric Moulds,0.810,0.260
3,2:15,2,10,TEN 28,3,10,Kerry Collins pass incomplete deep left intended for Eric Moulds (defended by Ronde Barber),0.260,-0.430
,,,,,,,"TEN challenged the pass completion ruling, and the original play was overturned.",,
3,2:09,3,10,TEN 28,3,10,Kerry Collins pass complete short middle to Bo Scaife for 14 yards (tackle by Tanard Jackson),-0.430,1.730
3,1:35,1,10,TEN 42,3,10,LenDale White right end for 3 yards (tackle by Jovan Haye and Cato June),1.730,1.590
3,0:57,2,7,TEN 45,3,10,Kerry Collins pass complete short left to LenDale White for no gain,1.590,0.890
3,0:16,,,,3,10,Timeout #1 by Tampa Bay Buccaneers,0.000,0.890
3,0:15,3,7,TEN 45,3,10,"Kerry Collins pass complete short middle to Bo Scaife for 14 yards (tackle by Derrick Brooks). Ronde Barber fumbles (forced by LenDale White), recovered by Justin Gage at TAM-33 (tackle by Ronde Barber)",0.890,3.380
3,0:05,1,10,TAM 33,3,10,Kerry Collins pass incomplete deep left intended for Bo Scaife,3.380,2.840
Quarter,Time,Down,ToGo,Location,TEN,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,TAM 33,3,10,Kerry Collins pass incomplete short middle intended for LenDale White,2.840,2.150
4,14:56,3,10,TAM 33,3,10,Kerry Collins pass complete short right to Justin Gage for 12 yards (tackle by Phillip Buchanon),2.150,4.170
4,14:21,1,10,TAM 21,3,10,LenDale White up the middle for 4 yards (tackle by Greg Spires and Jovan Haye),4.170,4.200
4,13:44,2,6,TAM 17,3,10,Kerry Collins sacked by Jovan Haye for -7 yards,4.200,2.540
4,12:58,,,,3,10,Timeout #1 by Tennessee Titans,0.000,2.540
4,12:58,3,13,TAM 24,3,10,Kerry Collins sacked by Kevin Carter for -13 yards,2.540,0.790
4,12:19,4,26,TAM 37,3,10,"Craig Hentrich punts 25 yards, fair catch by Mark Jones",0.790,0.350
4,12:10,1,10,TAM 12,3,10,"Jeff Garcia pass incomplete short left intended for Jerramy Stevens. Penalty on Nick Harper: Illegal Contact, 5 yards (no play)",-0.350,-0.060
4,12:03,1,10,TAM 17,3,10,Earnest Graham right guard for 4 yards (tackle by Chris Hope and Tony Brown),-0.060,0.080
4,11:25,2,6,TAM 21,3,10,Jeff Garcia pass incomplete,0.080,-0.750
4,11:18,,,,3,10,Timeout #2 by Tampa Bay Buccaneers,0.000,-0.750
4,11:18,3,6,TAM 21,3,10,Jeff Garcia right end for 2 yards (tackle by Nick Harper),-0.750,-1.830
4,10:35,4,4,TAM 23,3,10,"Josh Bidwell punts 49 yards, returned by Chris Davis for 11 yards (tackle by Ryan Nece). Penalty on Stephen Tulloch: Offensive Holding, 10 yards",-1.830,-0.040
4,10:20,1,10,TEN 18,3,10,LenDale White left tackle for -1 yards (tackle by Chris Hovan and Derrick Brooks),0.040,-0.650
4,9:36,2,11,TEN 17,3,10,Kerry Collins pass incomplete short left intended for Roydell Williams,-0.650,-1.340
4,9:30,3,11,TEN 17,3,10,Kerry Collins pass incomplete short right intended for LenDale White,-1.340,-2.320
4,9:23,4,11,TEN 17,3,10,"Craig Hentrich punts 41 yards, returned by Mark Jones for 1 yard (tackle by Ken Amato)",-2.320,-1.800
4,9:12,1,10,TAM 43,3,10,Earnest Graham up the middle for no gain (tackle by David Thornton),1.800,1.250
4,8:38,2,10,TAM 43,3,10,Jeff Garcia pass incomplete short right intended for B.J. Askew,1.250,0.560
4,8:29,3,10,TAM 43,3,10,Jeff Garcia pass complete short left to B.J. Askew for 2 yards (tackle by Vincent Fuller),0.560,-0.390
4,7:43,4,8,TAM 45,3,10,"Josh Bidwell punts 41 yards, fair catch by Chris Davis",-0.390,0.280
4,7:34,1,10,TEN 14,3,10,LenDale White up the middle for 4 yards (tackle by Kevin Carter and Jovan Haye),-0.280,-0.210
4,7:00,2,6,TEN 18,3,10,Kerry Collins pass complete short right to Eric Moulds for 5 yards (tackle by Phillip Buchanon),-0.210,-0.320
4,6:27,3,1,TEN 23,3,10,LenDale White up the middle for 2 yards (tackle by Jermaine Phillips),-0.320,0.610
4,5:53,1,10,TEN 25,3,10,LenDale White up the middle for 1 yard (tackle by Chris Hovan and Stylez G. White),0.610,0.200
4,5:14,2,9,TEN 26,3,10,Kerry Collins pass incomplete short right intended for Eric Moulds,0.200,-0.490
4,5:05,3,9,TEN 26,3,10,Kerry Collins pass complete deep middle to Justin Gage for 42 yards (tackle by Barrett Ruud),-0.490,3.450
4,4:14,1,10,TAM 32,3,10,LenDale White right guard for 5 yards (tackle by Barrett Ruud and Gaines Adams),3.450,3.580
4,3:35,2,5,TAM 27,3,10,Kerry Collins pass complete short middle to LenDale White for 9 yards (tackle by Cato June),3.580,4.370
4,3:35,1,10,TAM 18,3,10,"Penalty on Jacob Bell: False Start, 5 yards (no play)",4.370,4.040
4,2:53,1,15,TAM 23,3,10,Kerry Collins pass incomplete deep left intended for LenDale White (defended by Ronde Barber),4.040,3.150
,,,,,,,"TEN challenged the pass completion ruling, and the original play was overturned.",,
4,2:44,2,15,TAM 23,3,10,Kerry Collins pass incomplete short right intended for LenDale White,3.150,2.480
4,2:38,3,15,TAM 23,3,10,Kerry Collins pass complete deep middle to Bo Scaife for 17 yards (tackle by Barrett Ruud),2.480,5.830
4,2:00,1,6,TAM 6,3,10,LenDale White up the middle for 4 yards (tackle by Kevin Carter and Barrett Ruud),5.830,5.720
4,1:24,2,2,TAM 2,9,10,"LenDale White up the middle for 2 yards, touchdown",5.720,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,,,,TAM 2,10,10,Rob Bironas kicks extra point good,0.000,0.000
4,,,,TEN 30,10,10,"Rob Bironas kicks off 70 yards, touchback",0.000,0.280
4,1:17,1,10,TAM 20,10,10,Jeff Garcia pass incomplete short left intended for Ike Hilliard,0.280,-0.270
4,1:11,2,10,TAM 20,10,10,Jeff Garcia pass incomplete short middle intended for Joey Galloway (defended by Cortland Finnegan),-0.270,-0.960
4,1:05,3,10,TAM 20,10,10,Jeff Garcia pass complete short middle to Ike Hilliard for 28 yards,-0.960,2.130
4,0:54,1,10,TAM 48,10,10,Jeff Garcia pass complete short middle to Earnest Graham for 3 yards (tackle by Nick Harper),2.130,1.990
4,0:29,2,7,TEN 49,10,10,Jeff Garcia pass complete short middle to Joey Galloway for 14 yards (tackle by Calvin Lowry),1.990,3.250
4,0:22,,,,10,10,Timeout #3 by Tampa Bay Buccaneers,0.000,3.250
4,0:22,1,10,TEN 35,10,10,Jeff Garcia pass complete short right to Ike Hilliard for 10 yards,3.250,3.910
4,0:16,1,10,TEN 25,10,13,Matt Bryant 43 yard field goal good. Penalty on TEN: Defensive 12 On-field (Declined),3.910,3.000
4,,,,TAM 30,10,13,"Matt Bryant kicks off 44 yards, lateral to Michael Griffin for 4 yards (tackle by Torrie Cox)",0.000,0.810
4,0:07,1,10,TEN 28,10,13,Kerry Collins pass incomplete deep right intended for Justin Gage (defended by Tanard Jackson),0.810,0.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
