Unnamed: 0,TEN,TAM
First Downs,20,13
Rush-Yds-TDs,33-96-1,15-30-0
Cmp-Att-Yd-TD-INT,21-34-245-0-1,20-31-274-1-0
Sacked-Yards,3-24,0-0
Net Pass Yards,221,274
Total Yards,317,304
Fumbles-Lost,2-2,1-1
Turnovers,3,1
Penalties-Yards,8-49,4-25
Third Down Conv.,9-16,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,37:37,22:23
