Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
2,6:25,1,10,GNB 42,3,0,"Mark Sanchez pass incomplete deep left intended for Braylon Edwards. Penalty on Shonn Greene: Offensive Holding, 10 yards (no play)",2.790,2.130
2,6:17,1,20,NYJ 48,3,0,Shonn Greene left guard for 2 yards (tackle by Desmond Bishop and C.J. Wilson),2.130,1.160
2,5:35,2,18,,3,0,Mark Sanchez pass complete short middle to LaDainian Tomlinson for 7 yards (tackle by Desmond Bishop),1.160,1.420
2,4:55,3,11,GNB 43,3,0,Mark Sanchez pass incomplete short right intended for Jerricho Cotchery is intercepted by Tramon Williams at GNB-40,1.420,-1.600
,,,,,,,"NYJ challenged the runner was down by contact ruling, and the play was upheld.",,
2,4:48,1,10,GNB 40,3,0,Aaron Rodgers pass complete short left to Brett Swain for 12 yards (tackle by Antonio Cromartie),1.600,2.390
2,4:16,1,10,NYJ 48,3,0,Brandon Jackson left tackle for 2 yards (tackle by Mike DeVito),2.390,2.120
2,3:32,2,8,NYJ 46,3,0,Aaron Rodgers pass incomplete deep right intended for Greg Jennings,2.120,1.420
2,3:25,3,8,NYJ 46,3,0,"Aaron Rodgers pass incomplete short middle intended for Greg Jennings. Penalty on Brodney Pool: Defensive Pass Interfere, 10 yards (no play)",1.420,3.180
2,3:19,1,10,NYJ 36,3,0,Brandon Jackson left end for 7 yards (tackle by David Harris),3.180,3.580
2,2:48,2,3,NYJ 29,3,0,Aaron Rodgers pass complete short right to Greg Jennings for 6 yards (tackle by Jim Leonhard),3.580,4.040
2,2:11,1,10,NYJ 23,3,0,Aaron Rodgers pass incomplete short left intended for Donald Lee,4.040,3.500
2,2:03,2,10,NYJ 23,3,0,Aaron Rodgers sacked by David Harris for -9 yards,3.500,1.620
2,1:59,3,19,NYJ 32,3,0,Aaron Rodgers pass complete short right to Donald Lee for 5 yards (tackle by Dwight Lowery),1.620,1.670
2,1:59,4,14,NYJ 27,3,0,Mason Crosby 45 yard field goal no good,1.670,-1.270
2,1:48,1,10,NYJ 35,3,0,Mark Sanchez pass complete short right to Dustin Keller for 5 yards (tackle by Desmond Bishop),1.270,1.400
2,1:28,2,5,NYJ 40,3,0,Mark Sanchez pass complete short right to LaDainian Tomlinson for 4 yards (tackle by Tramon Williams),1.400,1.220
2,1:09,3,1,NYJ 44,3,0,Mark Sanchez pass incomplete short right intended for Dustin Keller (defended by Desmond Bishop),1.220,-0.460
2,1:07,4,1,NYJ 44,3,0,"Steve Weatherford punts 36 yards, fair catch by Tramon Williams",-0.460,-0.280
2,0:59,1,10,GNB 20,3,0,Aaron Rodgers sacked by Dwight Lowery for -5 yards,0.280,-1.070
2,0:15,2,15,GNB 15,3,0,Brandon Jackson left tackle for 27 yards (tackle by Antonio Cromartie and Jim Leonhard),-1.070,1.730
2,0:08,,,,3,0,Timeout #2 by Green Bay Packers,0.000,1.730
2,0:08,1,10,GNB 42,3,0,Aaron Rodgers pass incomplete short right intended for Greg Jennings,1.730,1.190
2,0:04,2,10,GNB 42,3,0,Aaron Rodgers kneels for -1 yards,1.190,0.370
Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 30,3,0,"Mason Crosby kicks off 65 yards, returned by Brad Smith for 47 yards (tackle by Sam Shields)",0.000,2.390
3,14:51,1,10,GNB 48,3,0,LaDainian Tomlinson left tackle for 3 yards (tackle by Frank Zombo and C.J. Wilson),2.390,2.250
3,14:17,2,7,GNB 45,3,0,LaDainian Tomlinson left end for no gain (tackle by Desmond Bishop),2.250,1.550
3,13:35,3,7,GNB 45,3,0,Mark Sanchez pass incomplete short right intended for Santonio Holmes,1.550,0.270
3,13:31,4,7,GNB 45,3,0,"Steve Weatherford punts 34 yards, fair catch by Tramon Williams",0.270,0.370
3,13:23,1,10,GNB 11,3,0,John Kuhn right end for 6 yards (tackle by Bart Scott and Mike DeVito),-0.370,-0.160
3,12:42,2,4,GNB 17,3,0,Aaron Rodgers pass complete short right to Jordy Nelson for 19 yards (tackle by Antonio Cromartie),-0.160,1.330
3,12:04,1,10,GNB 36,3,0,Aaron Rodgers pass incomplete deep left intended for Greg Jennings,1.330,0.790
3,11:56,2,10,GNB 36,3,0,Brandon Jackson right end for 1 yard (tackle by David Harris),0.790,0.230
3,11:13,3,9,GNB 37,3,0,Aaron Rodgers pass complete short middle to Greg Jennings for 11 yards (tackle by Jim Leonhard),0.230,2.130
3,10:34,1,10,GNB 48,3,0,Brandon Jackson right end for 8 yards (tackle by David Harris and Darrelle Revis),2.130,2.660
3,9:54,2,2,NYJ 44,3,0,John Kuhn right tackle for 4 yards (tackle by Vernon Gholston and Calvin Pace),2.660,2.920
3,9:09,1,10,NYJ 40,3,0,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (no play)",2.920,2.590
3,8:43,1,15,NYJ 45,3,0,Brandon Jackson left guard for 2 yards (tackle by David Harris and Bryan Thomas),2.590,1.970
3,8:03,2,13,NYJ 43,3,0,Aaron Rodgers pass complete short right to Jordy Nelson for 3 yards (tackle by Marquice Cole),1.970,1.680
3,7:24,3,10,NYJ 40,3,0,Aaron Rodgers pass incomplete deep left intended for Jordy Nelson,1.680,0.590
3,7:16,4,10,NYJ 40,3,0,"Tim Masthay punts 40 yards, touchback",0.590,-0.280
3,7:08,1,10,NYJ 20,3,0,Mark Sanchez pass incomplete deep right intended for Braylon Edwards,0.280,-0.270
3,7:00,2,10,NYJ 20,3,0,LaDainian Tomlinson left guard for 3 yards (tackle by Desmond Bishop and A.J. Hawk),-0.270,-0.560
3,6:21,3,7,NYJ 23,3,0,Mark Sanchez pass complete deep middle to Jerricho Cotchery for 49 yards (tackle by Nick Collins),-0.560,3.710
3,5:36,1,10,GNB 28,3,0,Shonn Greene right tackle for 8 yards (tackle by Charlie Peprah),3.710,4.250
3,5:04,2,2,GNB 20,3,0,"Shonn Greene right end for 5 yards (tackle by Desmond Bishop). Penalty on Nick Mangold: Offensive Holding, 10 yards (no play)",4.250,2.900
3,4:38,2,12,GNB 30,3,0,Mark Sanchez pass incomplete short left intended for Dustin Keller,2.900,2.210
3,4:32,3,12,GNB 30,3,0,Mark Sanchez pass complete short right to LaDainian Tomlinson for 11 yards (tackle by Brandon Chillar),2.210,2.340
3,3:49,4,1,GNB 19,3,0,Nick Folk 37 yard field goal no good,2.340,-0.810
3,3:44,1,10,GNB 28,3,0,Aaron Rodgers pass incomplete deep right intended for James Jones,0.810,0.260
3,3:37,2,10,GNB 28,3,0,Aaron Rodgers pass complete short middle to Greg Jennings for 11 yards (tackle by Jim Leonhard),0.260,1.530
3,2:56,1,10,GNB 39,3,0,John Kuhn left guard for -2 yards (tackle by Bart Scott),1.530,0.720
3,2:13,2,12,GNB 37,3,0,Aaron Rodgers pass complete short right to Greg Jennings for 11 yards (tackle by Antonio Cromartie),0.720,1.490
3,2:05,3,1,GNB 48,3,0,Brandon Jackson left tackle for no gain (tackle by Jason Taylor and Mike DeVito),1.490,-0.190
3,1:20,4,1,GNB 48,3,0,Tim Masthay punts 47 yards,-0.190,0.380
3,1:08,1,10,NYJ 5,3,0,Mark Sanchez pass incomplete short middle intended for LaDainian Tomlinson,-0.380,-0.780
3,1:01,2,10,NYJ 5,3,0,LaDainian Tomlinson right tackle for 6 yards (tackle by Desmond Bishop),-0.780,-0.720
3,0:25,3,4,NYJ 11,3,0,Mark Sanchez pass complete short right to Jerricho Cotchery for 7 yards (tackle by Charles Woodson),-0.720,0.040
Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYJ 18,3,0,Mark Sanchez pass incomplete short right intended for Dustin Keller,0.040,-0.490
4,14:54,2,10,NYJ 18,3,0,Brad Smith left guard for 5 yards (tackle by Clay Matthews and Howard Green),-0.490,-0.530
4,14:16,3,5,NYJ 23,3,0,"Mark Sanchez pass incomplete short middle intended for Dustin Keller. Penalty on Brandon Chillar: Defensive Holding, 5 yards (no play)",-0.530,0.810
4,14:09,1,10,NYJ 28,3,0,"LaDainian Tomlinson right end for no gain (tackle by Howard Green). LaDainian Tomlinson fumbles (forced by Howard Green), recovered by Jerricho Cotchery at NYJ-19 and returned for 1 yards",0.810,-0.820
4,13:26,2,18,NYJ 20,3,0,Mark Sanchez pass complete deep left to Braylon Edwards for 32 yards (tackle by Nick Collins),-0.820,2.390
4,12:59,1,10,GNB 48,3,0,Shonn Greene left guard for 4 yards (tackle by Charlie Peprah and Clay Matthews),2.390,2.390
4,12:22,2,6,GNB 44,3,0,Shonn Greene right tackle for 5 yards (tackle by C.J. Wilson),2.390,2.340
4,11:48,3,1,GNB 39,3,0,Shonn Greene right guard for 2 yards (tackle by Howard Green),2.340,3.120
4,11:09,1,10,GNB 37,3,0,"Shonn Greene right tackle for 2 yards (tackle by Cullen Jenkins and Charlie Peprah). Penalty on Dustin Keller: Offensive Holding, 10 yards (no play)",3.120,2.460
4,10:42,1,20,GNB 47,3,0,Mark Sanchez pass incomplete short left intended for Dustin Keller is intercepted by Charles Woodson at GNB-43,2.460,-1.800
4,10:34,1,10,GNB 43,3,0,Aaron Rodgers pass complete short left to Brandon Jackson for 13 yards (tackle by Calvin Pace),1.800,2.650
4,9:50,1,10,NYJ 44,3,0,John Kuhn left tackle for 4 yards (tackle by Bart Scott and David Harris),2.650,2.650
4,9:06,2,6,NYJ 40,3,0,Aaron Rodgers pass incomplete deep right intended for James Jones,2.650,1.950
4,9:00,3,6,NYJ 40,3,0,Aaron Rodgers pass complete short middle to Jordy Nelson for 14 yards (tackle by Drew Coleman),1.950,3.840
4,8:16,1,10,NYJ 26,3,0,"Penalty on Chad Clifton: False Start, 5 yards (no play)",3.840,3.510
4,7:50,1,15,NYJ 31,3,0,Aaron Rodgers middle for 5 yards (tackle by David Harris),3.510,3.300
4,7:06,2,10,NYJ 26,3,0,Aaron Rodgers pass incomplete short left intended for Greg Jennings. Penalty on Bryan Bulaga: Ineligible Downfield Pas (Declined),3.300,2.610
4,7:00,3,10,NYJ 26,3,0,Aaron Rodgers pass complete short left to Jordy Nelson for 3 yards (tackle by Drew Coleman),2.610,1.930
4,6:41,4,7,NYJ 23,6,0,Mason Crosby 41 yard field goal good,1.930,3.000
4,,,,GNB 30,6,0,"Mason Crosby kicks off 72 yards, returned by Brad Smith for 21 yards (tackle by Nick Collins)",0.000,0.150
4,6:31,1,10,NYJ 19,6,0,Mark Sanchez pass incomplete short left intended for Jerricho Cotchery,0.150,-0.390
4,6:26,2,10,NYJ 19,6,0,LaDainian Tomlinson right guard for 4 yards (tackle by A.J. Hawk),-0.390,-0.550
4,5:45,3,6,NYJ 23,6,0,Mark Sanchez pass complete deep middle to Dustin Keller for 40 yards (tackle by Nick Collins),-0.550,3.120
4,5:06,1,10,GNB 37,6,0,Mark Sanchez middle for 2 yards (tackle by Desmond Bishop),3.120,2.840
4,4:33,2,8,GNB 35,6,0,Mark Sanchez pass incomplete short left intended for Jerricho Cotchery,2.840,2.150
4,4:26,3,8,GNB 35,6,0,Mark Sanchez pass incomplete deep right intended for Jerricho Cotchery (defended by Tramon Williams),2.150,0.970
4,4:18,4,8,GNB 35,6,0,Mark Sanchez pass incomplete deep left intended for Jerricho Cotchery (defended by Charlie Peprah),0.970,-1.270
4,4:12,1,10,GNB 35,6,0,John Kuhn left guard for 2 yards (tackle by David Harris and Sione Pouha),1.270,0.990
4,4:08,,,,6,0,Timeout #1 by New York Jets,0.000,0.990
4,4:08,2,8,GNB 37,6,0,Brandon Jackson right end for -2 yards (tackle by Brodney Pool and Bart Scott),0.990,0.040
4,4:03,,,,6,0,Timeout #2 by New York Jets,0.000,0.040
4,4:03,3,10,GNB 35,6,0,Brandon Jackson right end for 1 yard (tackle by Calvin Pace),0.040,-0.980
4,3:59,,,,6,0,Timeout #3 by New York Jets,0.000,-0.980
4,3:57,4,9,GNB 36,6,0,Tim Masthay punts 41 yards,-0.980,-0.480
4,3:50,1,10,NYJ 23,6,0,LaDainian Tomlinson right tackle for 5 yards (tackle by B.J. Raji and A.J. Hawk),0.480,0.610
4,3:21,2,5,NYJ 28,6,0,Mark Sanchez pass incomplete deep middle intended for Jerricho Cotchery (defended by Charlie Peprah),0.610,-0.100
4,3:13,3,5,NYJ 28,6,0,Mark Sanchez sacked by Clay Matthews for -6 yards,-0.100,-1.900
4,2:40,4,11,NYJ 22,6,0,Mark Sanchez pass incomplete deep right intended for Braylon Edwards,-1.900,-4.040
4,2:30,1,10,NYJ 23,6,0,Brandon Jackson left guard for no gain (tackle by Sione Pouha and Mike DeVito),4.040,3.500
4,2:00,2,10,NYJ 23,6,0,John Kuhn left tackle for no gain (tackle by Bart Scott and Bryan Thomas),3.500,2.810
4,1:15,3,10,NYJ 23,6,0,Aaron Rodgers right guard for 1 yard (tackle by Mike DeVito),2.810,1.990
4,0:32,,,,6,0,Timeout #1 by Green Bay Packers,0.000,1.990
4,0:32,4,9,NYJ 22,9,0,Mason Crosby 40 yard field goal good,1.990,3.000
4,,,,GNB 30,9,0,"Mason Crosby kicks off 68 yards, returned by Brad Smith for 25 yards (tackle by Tom Crabtree)",0.000,0.740
4,0:19,1,10,NYJ 27,9,0,Mark Sanchez pass complete deep middle to Jerricho Cotchery for 20 yards (tackle by Desmond Bishop),0.740,2.060
4,0:09,1,10,NYJ 47,9,0,Mark Sanchez middle for 20 yards (tackle by Anthony Smith),2.060,3.380
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
