Unnamed: 0,GNB,NYJ
First Downs,13,15
Rush-Yds-TDs,26-81-0,29-119-0
Cmp-Att-Yd-TD-INT,15-34-170-0-0,16-38-256-0-2
Sacked-Yards,2-14,2-15
Net Pass Yards,156,241
Total Yards,237,360
Fumbles-Lost,0-0,3-1
Turnovers,0,3
Penalties-Yards,3-15,7-55
Third Down Conv.,2-14,7-17
Fourth Down Conv.,0-0,0-3
Time of Possession,28:37,31:23
