Unnamed: 0,OAK,KAN
First Downs,20,18
Rush-Yds-TDs,29-127-0,27-99-2
Cmp-Att-Yd-TD-INT,24-33-185-0-2,16-27-310-2-1
Sacked-Yards,3-20,0-0
Net Pass Yards,165,310
Total Yards,292,409
Fumbles-Lost,3-2,0-0
Turnovers,4,1
Penalties-Yards,4-22,4-50
Third Down Conv.,4-10,5-9
Fourth Down Conv.,1-1,1-3
Time of Possession,33:56,26:04
