Quarter,Time,Down,ToGo,Location,DEN,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Paul Ernster kicks off 68 yards, returned by J.J. Arrington for 27 yards (tackle by Steve Cargile)",0.000,0.870
1,14:55,1,10,ARI 29,0,0,Edgerrin James right end for 1 yard (tackle by Al Wilson),0.870,0.460
1,14:21,2,9,ARI 30,0,0,Matt Leinart pass complete short right to Edgerrin James for 2 yards (tackle by Ian Gold and Champ Bailey),0.460,0.040
1,13:43,3,7,ARI 32,0,0,Matt Leinart pass incomplete short middle intended for Troy Walters (defended by Ian Gold),0.040,-1.240
1,13:37,4,7,ARI 32,0,0,"Scott Player punts 49 yards, returned by David Kircus for 16 yards (tackle by Matt Ware)",-1.240,-1.270
1,13:26,1,10,DEN 35,0,0,Tatum Bell middle for 3 yards (tackle by Robert Griffith),1.270,1.130
1,12:51,2,7,DEN 38,0,0,Tatum Bell right end for 8 yards (tackle by Karlos Dansby and Robert Griffith),1.130,1.990
1,12:10,1,10,DEN 46,6,0,"Jay Cutler pass complete deep middle to Javon Walker for 54 yards, touchdown",1.990,7.000
1,,,,ARI 2,7,0,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,7,0,"Paul Ernster kicks off 66 yards, returned by J.J. Arrington for 21 yards (tackle by Steve Cargile)",0.000,0.610
1,11:54,1,10,ARI 25,7,0,Matt Leinart pass incomplete short right intended for Anquan Boldin is intercepted by Champ Bailey at ARI-31 and returned for 5 yards,0.610,-3.840
1,11:48,1,10,ARI 26,7,0,Tatum Bell right end for 7 yards (tackle by Antrel Rolle and Orlando Huff),3.840,4.270
1,11:07,2,3,ARI 19,7,0,Tatum Bell middle for 3 yards (tackle by Chike Okeafor and Darnell Dockett),4.270,4.510
1,10:23,1,10,ARI 16,7,0,Tatum Bell right end for no gain (tackle by Orlando Huff),4.510,3.900
1,9:43,2,10,ARI 16,7,0,Jay Cutler pass complete short left to Tatum Bell for 4 yards (tackle by Gerald Hayes),3.900,3.730
1,8:59,,,,7,0,Timeout #1 by Denver Broncos,0.000,3.730
1,8:59,3,6,ARI 12,7,0,Jay Cutler pass incomplete short left intended for Rod Smith,3.730,2.660
1,8:54,4,6,ARI 12,10,0,Jason Elam 30 yard field goal good,2.660,3.000
1,,,,DEN 30,10,0,"Paul Ernster kicks off 59 yards, returned by J.J. Arrington for 19 yards (tackle by Steve Cargile)",0.000,0.940
1,8:46,1,10,ARI 30,10,0,"Matt Leinart sacked by Ebenezer Ekuban for -10 yards. Matt Leinart fumbles (forced by Ebenezer Ekuban), recovered by Fred Wakefield at ARI-20",0.940,-0.960
1,8:25,2,20,ARI 20,10,0,Edgerrin James left tackle for no gain (tackle by Michael Myers and Ian Gold),-0.960,-1.620
1,7:28,3,20,ARI 20,10,0,Matt Leinart pass complete short left to Bryant Johnson for 13 yards (tackle by Karl Paymah). Penalty on Reggie Wells: Offensive Holding (Declined),-1.620,-1.180
1,7:13,4,7,ARI 33,10,0,"Scott Player punts 58 yards, returned by David Kircus for 9 yards (tackle by Matt Ware)",-1.180,-0.040
1,7:01,1,10,DEN 18,10,0,Jay Cutler pass incomplete deep left intended for Rod Smith,0.040,-0.490
1,6:55,2,10,DEN 18,10,0,Tatum Bell middle for 4 yards (tackle by Antrel Rolle),-0.490,-0.660
1,6:14,3,6,DEN 22,10,0,Jay Cutler pass complete short right to Tony Scheffler for 13 yards (tackle by Antrel Rolle),-0.660,1.270
1,5:32,1,10,DEN 35,10,0,Tatum Bell left end for no gain (tackle by Karlos Dansby),1.270,0.720
1,4:53,2,10,DEN 35,10,0,Jay Cutler middle for 8 yards (tackle by Chike Okeafor),0.720,1.090
1,4:07,3,2,DEN 43,10,0,Mike Bell left end for 4 yards (tackle by Gabe Watson),1.090,2.060
1,3:25,1,10,DEN 47,10,0,Tatum Bell middle for 2 yards (tackle by Orlando Huff and Antonio Smith),2.060,1.790
1,2:40,2,8,DEN 49,10,0,Jay Cutler pass complete short right to Javon Walker for 11 yards (tackle by Robert Griffith),1.790,2.920
1,2:08,1,10,ARI 40,10,0,Jay Cutler pass complete short right to Rod Smith for 5 yards (tackle by Adrian Wilson),2.920,3.050
1,1:40,2,5,ARI 35,10,0,Mike Bell middle for 11 yards (tackle by Antrel Rolle and Robert Griffith),3.050,3.970
1,1:07,1,10,ARI 24,10,0,Tatum Bell left end for 5 yards (tackle by Gerald Hayes),3.970,4.120
1,0:28,2,5,ARI 19,10,0,Jay Cutler pass incomplete deep right intended for Brandon Marshall (defended by Antrel Rolle),4.120,3.410
1,0:21,3,5,ARI 19,10,0,Jay Cutler pass complete short middle to Brandon Marshall for 9 yards (tackle by Gerald Hayes),3.410,4.910
Quarter,Time,Down,ToGo,Location,DEN,ARI,Detail,EPB,EPA
