Quarter,Time,Tm,Detail,DEN,ARI
1.0,12:00,Broncos,Javon Walker 54 yard pass from Jay Cutler (Jason Elam kick),7,0
,8:51,Broncos,Jason Elam 30 yard field goal,10,0
2.0,12:59,Broncos,Jason Elam 22 yard field goal,13,0
,8:12,Cardinals,Neil Rackers 49 yard field goal,13,3
,7:53,Cardinals,Antonio Smith 4 yard defensive fumble return (Neil Rackers kick),13,10
,0:57,Broncos,Jason Elam 30 yard field goal,16,10
3.0,8:54,Broncos,Rod Smith 10 yard pass from Jay Cutler (Jason Elam kick),23,10
,2:19,Cardinals,Neil Rackers 38 yard field goal,23,13
4.0,13:51,Broncos,Mike Bell 1 yard rush (Jason Elam kick),30,13
,7:46,Cardinals,Edgerrin James 4 yard rush (Neil Rackers kick),30,20
,2:44,Broncos,Mike Bell 1 yard rush (Jason Elam kick),37,20
