Unnamed: 0,DEN,ARI
First Downs,26,17
Rush-Yds-TDs,38-106-2,20-100-1
Cmp-Att-Yd-TD-INT,21-31-261-2-1,20-35-214-0-2
Sacked-Yards,1-5,3-19
Net Pass Yards,256,195
Total Yards,362,295
Fumbles-Lost,3-1,2-0
Turnovers,2,2
Penalties-Yards,1-5,6-52
Third Down Conv.,6-12,4-12
Fourth Down Conv.,0-0,1-1
Time of Possession,33:52,26:08
