Quarter,Time,Tm,Detail,GNB,MIN
1.0,3:20,Vikings,Visanthe Shiancoe 1 yard pass from Brett Favre (Ryan Longwell kick),0,7
,2:16,Packers,Jermichael Finley 62 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2.0,4:59,Vikings,Sidney Rice 14 yard pass from Brett Favre (Ryan Longwell kick),7,14
,3:18,Packers,Clay Matthews 42 yard defensive fumble return (Mason Crosby kick),14,14
,0:30,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),14,21
3.0,10:40,Vikings,Bernard Berrian 31 yard pass from Brett Favre (Ryan Longwell kick),14,28
4.0,7:21,Vikings,"Safety, Jared Allen sacked Aaron Rodgers in the endzone.",14,30
,3:40,Packers,Jordy Nelson 33 yard pass from Aaron Rodgers (pass failed),20,30
,0:55,Packers,Mason Crosby 31 yard field goal,23,30
