Unnamed: 0,GNB,MIN
First Downs,19,22
Rush-Yds-TDs,17-82-0,30-63-1
Cmp-Att-Yd-TD-INT,26-37-384-2-1,24-32-271-3-0
Sacked-Yards,8-42,0-0
Net Pass Yards,342,271
Total Yards,424,334
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,7-57,2-10
Third Down Conv.,7-13,8-14
Fourth Down Conv.,1-2,1-1
Time of Possession,28:16,31:44
