Quarter,Time,Tm,Detail,HOU,TEN
1.0,10:23,Titans,Ryan Succop 35 yard field goal,0,3
2.0,7:36,Texans,Randy Bullock 30 yard field goal,3,3
,6:00,Texans,Arian Foster 34 yard rush (Randy Bullock kick),10,3
,0:19,Texans,Randy Bullock 29 yard field goal,13,3
3.0,12:35,Texans,Arian Foster 5 yard pass from Ryan Fitzpatrick (Randy Bullock kick),20,3
,5:42,Texans,Arian Foster 1 yard rush (Randy Bullock kick),27,3
,2:12,Titans,Delanie Walker 6 yard pass from Zach Mettenberger (run failed),27,9
4.0,14:12,Texans,Randy Bullock 49 yard field goal,30,9
,0:56,Titans,Justin Hunter 12 yard pass from Zach Mettenberger (Ryan Succop kick),30,16
