Unnamed: 0,CLE,GNB
First Downs,17,26
Rush-Yds-TDs,23-83-0,29-104-1
Cmp-Att-Yd-TD-INT,17-42-149-1-1,25-36-260-3-0
Sacked-Yards,3-16,1-7
Net Pass Yards,133,253
Total Yards,216,357
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,12-106,10-97
Third Down Conv.,7-18,7-13
Fourth Down Conv.,2-5,0-0
Time of Possession,26:38,33:22
