Quarter,Time,Tm,Detail,CIN,BAL
1.0,10:25,Bengals,Mike Nugent 49 yard field goal,3,0
,1:25,Bengals,Mike Nugent 22 yard field goal,6,0
2.0,10:13,Bengals,Mike Nugent 28 yard field goal,9,0
,4:36,Bengals,Mike Nugent 46 yard field goal,12,0
,2:07,Bengals,Mike Nugent 38 yard field goal,15,0
3.0,2:20,Ravens,Justin Forsett 13 yard rush (Justin Tucker kick),15,7
4.0,10:28,Ravens,Justin Tucker 38 yard field goal,15,10
,5:46,Ravens,Steve Smith Sr. 80 yard pass from Joe Flacco (run failed),15,16
,4:58,Bengals,A.J. Green 77 yard pass from Andy Dalton (Mohamed Sanu pass from Andy Dalton),23,16
