Unnamed: 0,CIN,BAL
First Downs,16,26
Rush-Yds-TDs,26-79-0,20-94-1
Cmp-Att-Yd-TD-INT,25-38-301-1-0,35-62-345-1-1
Sacked-Yards,0-0,3-16
Net Pass Yards,301,329
Total Yards,380,423
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,4-45,3-29
Third Down Conv.,4-14,8-17
Fourth Down Conv.,0-0,1-2
Time of Possession,30:30,29:30
