Quarter,Time,Tm,Detail,BAL,TEN
1.0,5:39,Titans,A.J. Brown 10 yard pass from Ryan Tannehill (Stephen Gostkowski kick),0,7
,1:38,Titans,Stephen Gostkowski 45 yard field goal,0,10
2.0,9:59,Ravens,Justin Tucker 33 yard field goal,3,10
,2:32,Ravens,Lamar Jackson 48 yard rush (Justin Tucker kick),10,10
3.0,9:01,Ravens,J.K. Dobbins 4 yard rush (Justin Tucker kick),17,10
4.0,14:56,Titans,Stephen Gostkowski 25 yard field goal,17,13
,4:19,Ravens,Justin Tucker 51 yard field goal,20,13
