Unnamed: 0,BAL,TEN
First Downs,22,12
Rush-Yds-TDs,35-236-2,22-51-0
Cmp-Att-Yd-TD-INT,17-24-179-0-1,18-26-165-1-1
Sacked-Yards,5-14,1-7
Net Pass Yards,165,158
Total Yards,401,209
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,5-60,2-10
Third Down Conv.,7-13,4-12
Fourth Down Conv.,0-0,1-1
Time of Possession,33:38,26:22
