Unnamed: 0,STL,ARI
First Downs,15,24
Rush-Yds-TDs,34-173-0,23-74-2
Cmp-Att-Yd-TD-INT,8-18-205-2-1,31-52-312-0-4
Sacked-Yards,2-11,2-11
Net Pass Yards,194,301
Total Yards,367,375
Fumbles-Lost,1-0,0-0
Turnovers,1,4
Penalties-Yards,10-84,7-56
Third Down Conv.,3-11,4-13
Fourth Down Conv.,0-0,0-2
Time of Possession,28:09,31:51
