Unnamed: 0,SFO,JAX
First Downs,20,12
Rush-Yds-TDs,30-144-1,17-59-0
Cmp-Att-Yd-TD-INT,20-28-302-3-0,18-32-190-0-2
Sacked-Yards,2-9,5-28
Net Pass Yards,293,162
Total Yards,437,221
Fumbles-Lost,0-0,2-2
Turnovers,0,4
Penalties-Yards,7-90,5-39
Third Down Conv.,4-12,4-12
Fourth Down Conv.,1-2,0-1
Time of Possession,33:11,26:49
