Quarter,Time,Down,ToGo,Location,SFO,JAX,Detail,EPB,EPA
1,5:12,2,4,JAX 13,7,0,Brock Purdy pass incomplete short right intended for Christian McCaffrey,4.720,3.960
1,4:59,3,4,JAX 13,7,0,Brock Purdy sacked by Foyesade Oluokun for -8 yards,3.960,2.060
1,4:25,4,12,JAX 21,10,0,Jake Moody 39 yard field goal good,2.060,3.000
1,4:21,,,SFO 35,10,0,"Jake Moody kicks off 64 yards, returned by Jamal Agnew for 22 yards (tackle by Dee Winters and Jordan Mason)",0.000,0.480
1,4:16,1,10,JAX 23,10,0,Trevor Lawrence scrambles left guard for 3 yards (tackle by Javon Kinlaw),0.480,0.340
1,3:47,2,7,JAX 26,10,0,Travis Etienne up the middle for 3 yards (tackle by Dre Greenlaw and Talanoa Hufanga),0.340,0.040
1,3:04,3,4,JAX 29,10,0,Trevor Lawrence pass complete short middle to Tim Jones for 12 yards (tackle by Dre Greenlaw),0.040,1.660
1,2:28,1,10,JAX 41,10,0,Travis Etienne up the middle for 3 yards (tackle by Javon Hargrave and Fred Warner),1.660,1.530
1,1:52,2,7,JAX 44,10,0,Trevor Lawrence pass incomplete short right intended for Evan Engram (defended by Nick Bosa),1.530,0.830
1,1:45,3,7,JAX 44,10,0,Trevor Lawrence pass incomplete deep middle intended for Brenton Strange,0.830,-0.460
1,1:40,4,7,JAX 44,10,0,"Logan Cooke punts 56 yards, touchback.",-0.460,-0.280
1,1:31,1,10,SFO 20,10,0,"Brock Purdy pass complete short middle to Brandon Aiyuk for no gain (tackle by Tyson Campbell and Andrew Wingard). Penalty on Brandon Aiyuk: Offensive Pass Interference, 10 yards (accepted) (no play)",0.280,-0.760
1,1:02,1,20,SFO 10,10,0,Brock Purdy pass incomplete short right intended for Jauan Jennings (defended by Folorunso Fatukasi),-0.760,-1.510
1,0:59,2,20,SFO 10,10,0,Christian McCaffrey up the middle for 4 yards (tackle by Foyesade Oluokun),-1.510,-2.030
1,0:18,3,16,SFO 14,10,0,Brock Purdy pass complete short left to Deebo Samuel for 9 yards (tackle by Dawuane Smoot),-2.030,-1.830
Quarter,Time,Down,ToGo,Location,SFO,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,7,SFO 23,10,0,"Mitch Wishnowsky punts 49 yards, returned by Christian Kirk for 15 yards (tackle by Jordan Mason)",-1.830,-1.800
2,14:50,1,10,JAX 43,10,0,Travis Etienne left guard for no gain (tackle by Fred Warner and Deommodore Lenoir),1.800,1.250
2,14:14,2,10,JAX 43,10,0,Travis Etienne right end for 16 yards (tackle by Talanoa Hufanga),1.250,2.850
2,13:34,1,10,SFO 41,10,0,Christian Kirk pass incomplete deep right intended for Travis Etienne,2.850,2.310
2,13:24,2,10,SFO 41,10,0,"Penalty on JAX: Delay of Game, 5 yards (accepted) (no play)",2.310,1.630
2,13:24,2,15,SFO 46,10,0,"Trevor Lawrence sacked by and Nick Bosa for -3 yards and Chase Young for -3 yards. Trevor Lawrence fumbles (forced by Nick Bosa), recovered by Nick Bosa at SF-49 and returned for -3 yards",1.630,-2.190
2,13:22,1,10,SFO 49,10,0,Deebo Samuel right end for 4 yards (tackle by K'Lavon Chaisson),2.190,2.190
2,12:43,2,6,JAX 47,10,0,Brock Purdy pass incomplete short right intended for Kyle Juszczyk (defended by Rayshawn Jenkins),2.190,1.490
2,12:37,3,6,JAX 47,10,0,"Brock Purdy pass complete short left to Deebo Samuel for no gain (tackle by Andre Cisco). Penalty on Trent Williams: Offensive Holding, 10 yards (accepted) (no play)",1.490,0.170
2,12:14,3,16,SFO 43,10,0,Brock Purdy pass incomplete short right intended for Christian McCaffrey (defended by Travon Walker),0.170,-0.520
2,12:08,4,16,SFO 43,10,0,Mitch Wishnowsky punts 56 yards downed by Shemar Jean-Charles,-0.520,0.380
2,11:56,1,10,JAX 1,10,0,Travis Etienne up the middle for 3 yards (tackle by Talanoa Hufanga),-0.380,-0.560
2,11:21,2,7,JAX 4,10,0,Trevor Lawrence pass complete short left to Christian Kirk for 15 yards (tackle by Dre Greenlaw),-0.560,0.150
2,10:37,1,10,JAX 19,10,0,"D'Ernest Johnson left end for 5 yards (tackle by Tashaun Gipson and Dre Greenlaw). Penalty on Walker Little: Offensive Holding, 10 yards (accepted)",0.150,-0.390
2,10:27,1,15,JAX 14,10,0,Trevor Lawrence pass complete short right to D'Ernest Johnson for 15 yards (tackle by Dre Greenlaw and Deommodore Lenoir),-0.390,0.870
2,9:58,1,10,JAX 29,10,0,D'Ernest Johnson up the middle for 2 yards (tackle by Arik Armstead),0.870,0.600
2,9:18,2,8,JAX 31,10,0,Trevor Lawrence pass complete short left to D'Ernest Johnson for 13 yards (tackle by Ambry Thomas),0.600,1.860
2,8:20,1,10,JAX 44,10,0,Trevor Lawrence pass complete short right to Christian Kirk for 5 yards (tackle by Fred Warner),1.860,1.990
2,8:11,2,5,JAX 49,10,0,Tank Bigsby up the middle for 3 yards (tackle by Fred Warner),1.990,1.690
2,7:23,3,2,SFO 48,10,0,Trevor Lawrence pass complete short left to Christian Kirk for 17 yards (tackle by Deommodore Lenoir),1.690,3.510
2,6:47,1,10,SFO 31,10,0,Tank Bigsby up the middle for 1 yard (tackle by Arik Armstead),3.510,3.100
2,6:04,2,9,SFO 30,10,0,"Trevor Lawrence pass complete short left to Tank Bigsby for no gain (tackle by Dre Greenlaw). Penalty on Charvarius Ward: Illegal Contact, 5 yards (accepted) (no play)",3.100,3.910
2,5:42,1,10,SFO 25,10,0,Trevor Lawrence pass complete short right to Evan Engram for 6 yards (tackle by Charvarius Ward),3.910,4.200
2,5:09,2,4,SFO 19,10,0,Travis Etienne up the middle for no gain (tackle by Deommodore Lenoir),4.200,3.490
2,4:31,3,4,SFO 19,10,0,Trevor Lawrence pass incomplete deep right intended for Christian Kirk (defended by Charvarius Ward),3.490,2.260
2,4:24,4,4,SFO 19,10,3,Brandon McManus 37 yard field goal good,2.260,3.000
2,4:20,,,JAX 35,10,3,"Brandon McManus kicks off 63 yards, returned by Ray-Ray McCloud for 20 yards (tackle by Andrew Wingard and Antonio Johnson)",0.000,0.410
2,4:11,1,10,SFO 22,10,3,Brock Purdy pass complete short right to Kyle Juszczyk for 4 yards (tackle by Andrew Wingard),0.410,0.410
2,3:36,2,6,SFO 26,10,3,Christian McCaffrey left end for 12 yards (tackle by Foyesade Oluokun),0.410,1.470
2,3:02,1,10,SFO 38,10,3,Brock Purdy pass complete short left to Christian McCaffrey for 17 yards (tackle by Andre Cisco and Andrew Wingard),1.470,2.590
2,2:18,1,10,JAX 45,10,3,Christian McCaffrey right guard for 5 yards (tackle by Dawuane Smoot),2.590,2.720
2,2:00,2,5,JAX 40,10,3,Elijah Mitchell right end for 3 yards (tackle by Adam Gotsis),2.720,2.410
2,1:15,,,,,,Timeout #1 by San Francisco 49ers,,
2,1:15,3,2,JAX 37,10,3,Christian McCaffrey left guard for 2 yards (tackle by Devin Lloyd and Tyson Campbell),2.410,3.250
2,0:54,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:54,1,10,JAX 35,10,3,"Brock Purdy pass complete short left to Christian McCaffrey for 8 yards (tackle by Devin Lloyd). Penalty on Devin Lloyd: Face Mask (15 Yards), 14 yards (accepted)",3.250,4.710
2,0:41,1,10,JAX 13,10,3,Christian McCaffrey right end for 2 yards (tackle by Tre Herndon),4.710,4.390
2,0:30,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:30,2,8,JAX 11,10,3,"Brock Purdy pass incomplete short right. Penalty on Brock Purdy: Intentional Grounding, 12 yards (accepted) Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",4.390,2.150
2,0:16,3,20,JAX 23,10,3,Brock Purdy pass complete short right to Christian McCaffrey for 6 yards (tackle by Tyson Campbell and Andre Cisco),2.150,2.310
2,0:03,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:03,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:03,4,14,JAX 17,13,3,Jake Moody 35 yard field goal good,2.310,3.000
Quarter,Time,Down,ToGo,Location,SFO,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,13,3,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SFO 25,13,3,Brock Purdy pass complete short right to Deebo Samuel for 9 yards,0.610,1.280
3,14:21,2,1,SFO 34,19,3,"Brock Purdy pass complete deep right to George Kittle for 66 yards, touchdown",1.280,7.000
3,14:10,,,JAX 15,20,3,Jake Moody kicks extra point good,0.000,0.000
3,14:10,,,SFO 35,20,3,"Jake Moody kicks off 65 yards, touchback.",0.000,0.610
3,14:10,1,10,JAX 25,20,3,Trevor Lawrence sacked by Clelin Ferrell for -5 yards,0.610,-0.610
3,13:28,2,15,JAX 20,20,3,Trevor Lawrence pass complete short left to Calvin Ridley for 11 yards (tackle by Ambry Thomas),-0.610,0.170
3,12:47,3,4,JAX 31,20,3,Trevor Lawrence pass complete deep right to Christian Kirk for 26 yards (tackle by Talanoa Hufanga),0.170,2.720
3,12:19,1,10,SFO 43,20,3,Trevor Lawrence scrambles left end for 4 yards (tackle by Talanoa Hufanga),2.720,2.720
3,11:36,2,6,SFO 39,20,3,D'Ernest Johnson left guard for 5 yards (tackle by Nick Bosa and Ji'Ayir Brown),2.720,2.680
3,10:51,3,1,SFO 34,20,3,Trevor Lawrence pass short left intended for Tank Bigsby is intercepted by Talanoa Hufanga at SF-31 and returned for 12 yards (tackle by Trevor Lawrence),2.680,-1.800
3,10:37,1,10,SFO 43,20,3,Christian McCaffrey up the middle for 1 yard (tackle by Devin Lloyd and Adam Gotsis),1.800,1.390
3,10:00,2,9,SFO 44,20,3,Brock Purdy pass complete short right to Deebo Samuel for 6 yards (tackle by Gregory Junior),1.390,1.490
3,9:23,3,3,JAX 50,20,3,Brock Purdy sacked by Foyesade Oluokun for -1 yards,1.490,-0.130
3,8:36,4,4,SFO 49,20,3,"Mitch Wishnowsky punts 36 yards, fair catch by Christian Kirk at JAC-15",-0.130,0.220
3,8:29,1,10,JAX 15,20,3,Trevor Lawrence pass complete short left to Calvin Ridley for 9 yards (tackle by Deommodore Lenoir),-0.220,0.620
3,7:50,2,1,JAX 24,20,3,Trevor Lawrence pass incomplete deep left intended for Christian Kirk,0.620,-0.270
3,7:42,3,1,JAX 24,20,3,Travis Etienne up the middle for 8 yards (tackle by Talanoa Hufanga and Deommodore Lenoir),-0.270,1.070
3,7:08,1,10,JAX 32,20,3,Trevor Lawrence pass incomplete short left intended for Travis Etienne,1.070,0.530
3,7:01,2,10,JAX 32,20,3,Trevor Lawrence pass complete short right to Travis Etienne for 5 yards (tackle by Charvarius Ward and Fred Warner),0.530,0.500
3,6:19,3,5,JAX 37,20,3,"Trevor Lawrence pass incomplete short right intended for Calvin Ridley. Penalty on Nick Bosa: Roughing the Passer, 15 yards (accepted) (no play)",0.500,2.390
3,6:13,1,10,SFO 48,20,3,"Trevor Lawrence pass complete deep left to Christian Kirk for 39 yards (tackle by Deommodore Lenoir) SFO challenged the pass completion ruling, and the play was upheld.",2.390,5.140
3,5:47,1,9,SFO 9,20,3,Trevor Lawrence pass incomplete short left intended for Calvin Ridley,5.140,4.380
3,5:30,2,9,SFO 9,20,3,"Trevor Lawrence pass complete short left to Christian Kirk for 2 yards. Christian Kirk fumbles (forced by Ambry Thomas), recovered by Ambry Thomas at SF-8 and returned for 26 yards",4.380,-0.150
3,5:17,1,10,SFO 19,20,3,Brock Purdy pass complete short left to Christian McCaffrey for 1 yard (tackle by Devin Lloyd),0.150,-0.200
3,4:31,2,9,SFO 20,20,3,Brock Purdy pass incomplete short left intended for Christian McCaffrey,-0.200,-0.940
3,4:20,3,9,SFO 20,20,3,Brock Purdy pass complete deep right to Brandon Aiyuk for 21 yards (tackle by Tre Herndon),-0.940,1.660
3,3:43,1,10,SFO 41,20,3,Christian McCaffrey up the middle for 1 yard (tackle by DaVon Hamilton and Devin Lloyd),1.660,1.260
3,2:59,2,9,SFO 42,20,3,Brock Purdy pass complete deep left to George Kittle for 21 yards (tackle by Andre Cisco),1.260,3.120
3,2:17,1,10,JAX 37,20,3,Christian McCaffrey right guard for 14 yards (tackle by Gregory Junior and Tre Herndon),3.120,4.040
3,1:29,1,10,JAX 23,26,3,"Deebo Samuel for 23 yards, touchdown",4.040,7.000
3,1:20,,,JAX 15,27,3,Jake Moody kicks extra point good,0.000,0.000
3,1:20,,,SFO 35,27,3,"Jake Moody kicks off 64 yards, returned by D'Ernest Johnson for 22 yards (tackle by Talanoa Hufanga and Shemar Jean-Charles)",0.000,0.480
3,1:14,1,10,JAX 23,27,3,Travis Etienne up the middle for 2 yards (tackle by Javon Hargrave and Fred Warner),0.480,0.200
3,0:39,2,8,JAX 25,27,3,"Trevor Lawrence pass incomplete deep left intended for Calvin Ridley. Penalty on Ambry Thomas: Defensive Pass Interference, 23 yards (accepted) (no play)",0.200,2.130
3,0:34,1,10,JAX 48,27,3,Trevor Lawrence pass incomplete short left intended for Evan Engram,2.130,1.580
3,0:28,2,10,JAX 48,27,3,Trevor Lawrence sacked by Nick Bosa for -9 yards,1.580,-0.290
Quarter,Time,Down,ToGo,Location,SFO,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,19,JAX 39,27,3,Trevor Lawrence pass complete short right to Travis Etienne for 4 yards (tackle by Dre Greenlaw),-0.290,-0.520
4,14:17,4,15,JAX 43,27,3,Trevor Lawrence pass deep left intended for Christian Kirk is intercepted by Fred Warner at SF-38 and returned for 22 yards (tackle by Travis Etienne),-0.520,-2.920
4,14:12,1,10,JAX 40,27,3,Christian McCaffrey left end for 15 yards (tackle by Andre Cisco and Andrew Wingard),2.920,3.910
4,13:29,1,10,JAX 25,27,3,Christian McCaffrey right guard for 3 yards (tackle by Devin Lloyd),3.910,3.770
4,12:48,2,7,JAX 22,33,3,"Brock Purdy pass complete deep middle to Kyle Juszczyk for 22 yards, touchdown",3.770,7.000
4,12:40,,,JAX 15,34,3,Jake Moody kicks extra point good,0.000,0.000
4,12:40,,,SFO 35,34,3,"Jake Moody kicks off 65 yards, touchback.",0.000,0.610
4,12:40,1,10,JAX 25,34,3,Trevor Lawrence pass incomplete deep left intended for Christian Kirk (defended by Tashaun Gipson),0.610,0.060
4,12:34,2,10,JAX 25,34,3,Trevor Lawrence pass incomplete short middle intended for Christian Kirk (defended by Javon Kinlaw),0.060,-0.620
4,12:30,3,10,JAX 25,34,3,"Penalty on Walker Little: False Start, 5 yards (accepted) (no play)",-0.620,-1.290
4,12:30,3,15,JAX 20,34,3,Trevor Lawrence pass complete short right to Evan Engram for -4 yards (tackle by Dre Greenlaw),-1.290,-2.390
4,11:52,4,19,JAX 16,34,3,"Logan Cooke punts 58 yards, returned by Ray-Ray McCloud for 5 yards (tackle by Chad Muma)",-2.390,-1.000
4,11:47,1,10,SFO 31,34,3,Elijah Mitchell left end for 4 yards (tackle by Rayshawn Jenkins),1.000,1.000
4,11:08,2,6,SFO 35,34,3,Elijah Mitchell up the middle for no gain (tackle by Devin Lloyd and Andrew Wingard),1.000,0.300
4,10:25,3,6,SFO 35,34,3,Brock Purdy pass complete deep middle to Ronnie Bell for 20 yards (tackle by Andrew Wingard),0.300,2.590
4,9:43,1,10,JAX 45,34,3,Elijah Mitchell up the middle for 3 yards (tackle by Tyler Lacy and Foyesade Oluokun),2.590,2.450
4,9:00,2,7,JAX 42,34,3,Elijah Mitchell left end for 8 yards (tackle by Foyesade Oluokun and Andrew Wingard),2.450,3.310
4,8:16,1,10,JAX 34,34,3,Elijah Mitchell right guard for 4 yards (tackle by Jeremiah Ledbetter and Tyler Lacy),3.310,3.310
4,7:30,2,6,JAX 30,34,3,Elijah Mitchell right end for no gain (tackle by Jeremiah Ledbetter and Tyler Lacy),3.310,2.610
4,6:51,3,6,JAX 30,34,3,Elijah Mitchell left end for 1 yard (tackle by Devin Lloyd),2.610,1.540
4,5:59,,,,,,Timeout #2 by San Francisco 49ers,,
4,5:59,4,5,JAX 29,34,3,Christian McCaffrey right end for 19 yards (tackle by Devin Lloyd),1.540,4.910
4,5:17,,,,,,Timeout #3 by San Francisco 49ers,,
4,5:17,1,10,JAX 10,34,3,Christian McCaffrey left end for 1 yard (tackle by Folorunso Fatukasi and Adam Gotsis),4.910,4.380
4,4:32,2,9,JAX 9,34,3,Sam Darnold pass complete short right to Christian McCaffrey for 6 yards (tackle by Devin Lloyd and Josh Allen),4.380,4.720
4,3:47,3,3,JAX 3,34,3,Christian McCaffrey left guard for -2 yards (tackle by Foyesade Oluokun),4.720,3.010
4,3:01,4,5,JAX 5,34,3,Sam Darnold pass incomplete short right intended for Christian McCaffrey (defended by Darious Williams),3.010,0.380
4,2:56,1,10,JAX 5,34,3,Tank Bigsby right guard for 1 yard (tackle by Shemar Jean-Charles),-0.380,-0.710
4,2:22,2,9,JAX 6,34,3,C.J. Beathard pass complete short middle to Evan Engram for 5 yards (tackle by Curtis Robinson),-0.710,-0.720
4,2:00,3,4,JAX 11,34,3,C.J. Beathard pass incomplete short middle intended for Evan Engram,-0.720,-2.490
4,1:54,4,4,JAX 11,34,3,"Logan Cooke punts 62 yards, returned by Ronnie Bell for 8 yards (tackle by Antonio Johnson)",-2.490,-1.270
4,1:43,1,10,SFO 35,34,3,Sam Darnold kneels for -1 yards,1.270,0.590
4,1:08,2,11,SFO 34,34,3,Sam Darnold kneels for -1 yards,0.590,-0.230
4,0:39,3,12,SFO 33,34,3,Sam Darnold kneels for -1 yards,-0.230,-1.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
