Unnamed: 0,DAL,WAS
First Downs,8,18
Rush-Yds-TDs,22-38-0,37-151-1
Cmp-Att-Yd-TD-INT,12-23-189-1-1,17-31-209-0-2
Sacked-Yards,5-41,1-8
Net Pass Yards,148,201
Total Yards,186,352
Fumbles-Lost,4-3,3-3
Turnovers,4,5
Penalties-Yards,9-86,8-55
Third Down Conv.,1-13,9-17
Fourth Down Conv.,1-1,1-1
Time of Possession,24:33,35:27
