Quarter,Time,Tm,Detail,DAL,WAS
2.0,12:19,Redskins,Kenny Watson 5 yard rush (Jose Cortez kick),0,7
,0:42,Cowboys,Roy Williams 85 yard interception return (Billy Cundiff kick),7,7
3.0,7:41,Redskins,LaVar Arrington defensive fumble recovery in end zone (Jose Cortez kick),7,14
,0:24,Redskins,Jose Cortez 22 yard field goal,7,17
4.0,8:31,Redskins,Jose Cortez 38 yard field goal,7,20
,3:10,Cowboys,Antonio Bryant 46 yard pass from Chad Hutchinson (Billy Cundiff kick),14,20
