Unnamed: 0,STL,SFO
First Downs,17,14
Rush-Yds-TDs,28-118-0,33-127-1
Cmp-Att-Yd-TD-INT,19-34-185-1-0,11-22-233-1-0
Sacked-Yards,6-38,0-0
Net Pass Yards,147,233
Total Yards,265,360
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,6-40,2-20
Third Down Conv.,7-17,4-12
Fourth Down Conv.,1-1,0-0
Time of Possession,34:37,25:23
