Quarter,Time,Tm,Detail,STL,SFO
1.0,8:55,49ers,Joe Nedney 32 yard field goal,0,3
2.0,7:45,Rams,Jeff Wilkins 49 yard field goal,3,3
,2:16,Rams,Torry Holt 3 yard pass from Marc Bulger (Jeff Wilkins kick),10,3
3.0,14:05,49ers,Frank Gore 32 yard rush (Joe Nedney kick),10,10
,10:43,49ers,Antonio Bryant 72 yard pass from Alex Smith (Joe Nedney kick),10,17
4.0,11:03,Rams,Jeff Wilkins 40 yard field goal,13,17
,5:20,49ers,Joe Nedney 20 yard field goal,13,20
