Unnamed: 0,IND,MIA
First Downs,23,12
Rush-Yds-TDs,35-115-1,14-47-1
Cmp-Att-Yd-TD-INT,23-37-266-1-1,18-29-231-1-0
Sacked-Yards,4-25,5-39
Net Pass Yards,241,192
Total Yards,356,239
Fumbles-Lost,1-1,3-2
Turnovers,2,2
Penalties-Yards,5-35,5-44
Third Down Conv.,7-18,1-10
Fourth Down Conv.,0-1,0-0
Time of Possession,37:40,22:20
