Quarter,Time,Tm,Detail,IND,MIA
1.0,0:41,Dolphins,Ricky Williams 3 yard rush (Olindo Mare kick),0,7
2.0,11:11,Colts,Mike Vanderjagt 50 yard field goal,3,7
,2:20,Colts,Mike Vanderjagt 44 yard field goal,6,7
,0:00,Colts,Mike Vanderjagt 25 yard field goal,9,7
3.0,9:18,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),16,7
,7:27,Dolphins,Chris Chambers 28 yard pass from Brian Griese (Olindo Mare kick),16,14
4.0,9:40,Colts,Troy Walters 3 yard pass from Peyton Manning (Mike Vanderjagt kick),23,14
,3:10,Dolphins,Olindo Mare 23 yard field goal,23,17
