Unnamed: 0,BUF,CHI
First Downs,15,29
Rush-Yds-TDs,33-193-1,18-86-0
Cmp-Att-Yd-TD-INT,16-22-173-1-1,34-49-349-2-2
Sacked-Yards,1-6,2-8
Net Pass Yards,167,341
Total Yards,360,427
Fumbles-Lost,1-0,1-1
Turnovers,1,3
Penalties-Yards,9-108,4-43
Third Down Conv.,4-12,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:32,34:42
