Quarter,Time,Tm,Detail,CLE,BUF
1.0,10:11,Browns,Phil Dawson 19 yard field goal,3,0
2.0,9:28,Bills,David Nelson 11 yard pass from Ryan Fitzpatrick (Rian Lindell kick),3,7
,3:52,Browns,Phil Dawson 25 yard field goal,6,7
,0:14,Bills,Rian Lindell 30 yard field goal,6,10
4.0,7:56,Bills,Rian Lindell 19 yard field goal,6,13
