Unnamed: 0,CLE,BUF
First Downs,9,19
Rush-Yds-TDs,25-105-0,42-192-0
Cmp-Att-Yd-TD-INT,12-20-86-0-1,14-23-142-1-0
Sacked-Yards,1-4,2-11
Net Pass Yards,82,131
Total Yards,187,323
Fumbles-Lost,5-2,2-1
Turnovers,3,1
Penalties-Yards,2-10,6-44
Third Down Conv.,2-10,5-14
Fourth Down Conv.,0-0,1-2
Time of Possession,23:50,36:10
