Unnamed: 0,NYG,PHI
First Downs,11,27
Rush-Yds-TDs,20-73-0,32-118-1
Cmp-Att-Yd-TD-INT,15-30-203-2-0,33-50-325-2-0
Sacked-Yards,2-21,3-25
Net Pass Yards,182,300
Total Yards,255,418
Fumbles-Lost,2-0,2-1
Turnovers,0,1
Penalties-Yards,7-54,4-30
Third Down Conv.,2-12,9-21
Fourth Down Conv.,0-0,1-2
Time of Possession,21:59,42:51
