Quarter,Time,Tm,Detail,NYG,PHI
2,14:52,Giants,Darius Slayton 35 yard pass from Eli Manning (Aldrick Rosas kick),7,0
,9:33,Eagles,Jake Elliott 34 yard field goal,7,3
,5:30,Giants,Aldrick Rosas 34 yard field goal,10,3
,0:27,Giants,Darius Slayton 55 yard pass from Eli Manning (Aldrick Rosas kick),17,3
3,1:28,Eagles,Boston Scott 2 yard rush (Jake Elliott kick),17,10
4,1:53,Eagles,Zach Ertz 2 yard pass from Carson Wentz (Jake Elliott kick),17,17
OT,5:10,Eagles,Zach Ertz 2 yard pass from Carson Wentz,17,23
