Unnamed: 0,CLE,CIN
First Downs,23,26
Rush-Yds-TDs,17-76-1,32-253-2
Cmp-Att-Yd-TD-INT,30-39-413-5-2,22-29-251-4-3
Sacked-Yards,3-27,0-0
Net Pass Yards,386,251
Total Yards,462,504
Fumbles-Lost,3-0,0-0
Turnovers,2,3
Penalties-Yards,12-87,8-63
Third Down Conv.,4-12,7-11
Fourth Down Conv.,1-2,0-0
Time of Possession,28:41,31:19
