Unnamed: 0,STL,SFO
First Downs,21,21
Rush-Yds-TDs,33-133-1,33-108-0
Cmp-Att-Yd-TD-INT,22-38-231-0-0,28-44-354-1-1
Sacked-Yards,0-0,1-4
Net Pass Yards,231,350
Total Yards,364,458
Fumbles-Lost,1-0,2-0
Turnovers,0,1
Penalties-Yards,11-105,7-60
Third Down Conv.,3-13,8-18
Fourth Down Conv.,0-1,0-1
Time of Possession,38:30,33:03
