Unnamed: 0,PIT,HOU
First Downs,18,16
Rush-Yds-TDs,32-135-1,25-113-0
Cmp-Att-Yd-TD-INT,14-21-254-2-0,16-26-167-1-0
Sacked-Yards,1-1,8-59
Net Pass Yards,253,108
Total Yards,388,221
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,5-40,7-58
Third Down Conv.,4-11,8-15
Fourth Down Conv.,1-2,0-1
Time of Possession,29:06,30:54
