Quarter,Time,Tm,Detail,PIT,HOU
1.0,10:07,Steelers,Jeff Reed 37 yard field goal,3,0
,8:04,Steelers,Hines Ward 16 yard pass from Ben Roethlisberger (Jeff Reed kick),10,0
2.0,14:55,Steelers,Hines Ward 14 yard pass from Ben Roethlisberger (Jeff Reed kick),17,0
,3:58,Steelers,Jeff Reed 35 yard field goal,20,0
3.0,7:05,Texans,Domanick Williams 3 yard pass from David Carr (Kris Brown kick),20,7
,3:51,Steelers,Willie Parker 10 yard rush (Jeff Reed kick),27,7
