Quarter,Time,Down,ToGo,Location,PIT,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Kris Brown kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,PIT 20,0,0,Willie Parker for 19 yards (tackle by Marcus Coleman),0.280,1.530
1,14:38,1,10,PIT 39,0,0,Willie Parker right guard for 2 yards (tackle by Kailee Wong and Robaire Smith),1.530,1.260
1,13:56,2,8,PIT 41,0,0,Ben Roethlisberger pass complete to Antwaan Randle El for 13 yards (tackle by Dunta Robinson),1.260,2.520
1,13:34,1,10,HOU 46,0,0,Willie Parker up the middle for 2 yards (tackle by Antwan Peek and Robaire Smith),2.520,2.250
1,12:56,2,8,HOU 44,0,0,Ben Roethlisberger pass complete to Antwaan Randle El for 8 yards (tackle by Morlon Greenwood),2.250,3.180
1,12:24,1,10,HOU 36,0,0,Verron Haynes left end for 1 yard (tackle by Robaire Smith and Kailee Wong),3.180,2.770
1,11:46,2,9,HOU 35,0,0,Willie Parker right tackle for 14 yards (tackle by C.C. Brown),2.770,4.170
1,11:02,1,10,HOU 21,0,0,Willie Parker up the middle for 2 yards (tackle by Junior Ioane),4.170,3.900
1,10:22,2,8,HOU 19,0,0,Ben Roethlisberger pass incomplete intended for Hines Ward (defended by Phillip Buchanon),3.900,3.180
1,10:17,3,8,HOU 19,0,0,Ben Roethlisberger pass incomplete intended for Verron Haynes,3.180,2.180
1,10:11,4,8,HOU 19,3,0,Jeff Reed 37 yard field goal good,2.180,3.000
1,,,,PIT 30,3,0,"Jeff Reed kicks off 64 yards, returned by Vernand Morency for 17 yards (tackle by James Harrison)",0.000,0.480
1,10:02,1,10,HOU 23,3,0,Domanick Williams left guard for 3 yards (tackle by Clark Haggans),0.480,0.340
1,9:28,2,7,HOU 26,3,0,Domanick Williams left tackle for 1 yard (tackle by Larry Foote and James Farrior),0.340,-0.230
