Quarter,Time,Tm,Detail,OAK,MIA
1.0,13:34,Raiders,Jordy Nelson 12 yard pass from Derek Carr (Mike Nugent kick),7,0
2.0,12:11,Dolphins,Kenny Stills 34 yard pass from Ryan Tannehill (Jason Sanders kick),7,7
,3:34,Raiders,Mike Nugent 25 yard field goal,10,7
3.0,2:58,Raiders,Marshawn Lynch 1 yard rush (Mike Nugent kick),17,7
,0:55,Dolphins,Jakeem Grant 18 yard pass from Ryan Tannehill (Jason Sanders kick),17,14
4.0,7:18,Dolphins,Jakeem Grant 52 yard pass from Albert Wilson (Jason Sanders kick),17,21
,2:00,Dolphins,Albert Wilson 74 yard pass from Ryan Tannehill (Jason Sanders kick),17,28
,0:20,Raiders,Mike Nugent 52 yard field goal,20,28
