Unnamed: 0,OAK,SDG
First Downs,9,20
Rush-Yds-TDs,32-141-0,37-263-2
Cmp-Att-Yd-TD-INT,6-22-35-0-1,15-28-97-1-0
Sacked-Yards,5-35,3-23
Net Pass Yards,0,74
Total Yards,141,337
Fumbles-Lost,4-0,0-0
Turnovers,1,0
Penalties-Yards,5-38,7-50
Third Down Conv.,3-16,3-13
Fourth Down Conv.,0-2,0-0
Time of Possession,27:22,32:38
