Quarter,Time,Down,ToGo,Location,OAK,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 70 yards, returned by Terry Kirby for 35 yards (tackle by Yo Murphy)",0.000,1.270
1,14:52,1,10,OAK 35,0,0,Rich Gannon pass complete to Jerry Rice for 53 yards (tackle by Travis Fisher),1.270,4.780
1,14:22,1,10,STL 12,0,0,Rich Gannon pass incomplete intended for Tim Brown,4.780,4.100
1,14:17,2,10,STL 12,0,0,Rich Gannon pass complete to Jerry Rice for 6 yards (tackle by Adam Archuleta and Tommy Polley),4.100,4.380
1,13:41,3,4,STL 6,0,0,Rich Gannon left tackle for 3 yards (tackle by Tommy Polley),4.380,3.060
1,12:57,3,4,STL 6,,,Timeout #1 by Los Angeles Rams,4.380,3.060
1,12:57,4,1,STL 3,0,0,Zack Crockett left tackle for no gain (tackle by Ryan Pickett),3.060,0.380
1,12:51,1,10,STL 3,0,0,Marshall Faulk right tackle for 2 yards (tackle by Chris Cooper),-0.380,-0.630
1,12:07,1,10,STL 3,,,Timeout #2 by Los Angeles Rams,-0.380,-0.630
1,12:07,2,8,STL 5,0,0,Marshall Faulk left tackle for 5 yards (tackle by Napoleon Harris),-0.630,-0.600
1,11:23,3,3,STL 10,0,0,Marshall Faulk middle for 3 yards (tackle by Derrick Gibson),-0.600,-0.320
1,10:36,1,10,STL 13,0,0,Marshall Faulk right guard for 2 yards (tackle by Napoleon Harris),-0.320,-0.570
1,9:52,2,8,STL 15,0,0,Marc Bulger pass complete to Isaac Bruce for 17 yards (tackle by Derrick Gibson),-0.570,1.070
1,9:29,1,10,STL 32,0,0,Marc Bulger pass complete to Torry Holt for 50 yards (tackle by Rod Woodson),1.070,4.370
1,8:38,1,10,OAK 18,0,0,Marshall Faulk middle for 7 yards (tackle by Derrick Gibson and Tony Bryant),4.370,5.010
1,7:56,2,3,OAK 11,0,0,Marshall Faulk left end for 4 yards (tackle by Tory James),5.010,5.600
1,7:27,1,7,OAK 7,0,6,"Marc Bulger pass complete to Isaac Bruce for 7 yards, touchdown",5.600,7.000
1,7:27,,,OAK 7,0,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,7:27,,,STL 30,0,7,"Jeff Wilkins kicks off 69 yards, returned by Terry Kirby for 30 yards (tackle by James Whitley). Penalty on Troy Edwards: Offside on Free Kick (Declined)",0.000,1.000
1,7:14,1,10,OAK 31,0,7,Rich Gannon pass complete to Jerry Rice for 14 yards (tackle by Kim Herring),1.000,1.930
1,6:59,1,10,OAK 45,0,7,Rich Gannon pass complete to Charlie Garner for 4 yards (tackle by Adam Archuleta),1.930,1.920
1,6:26,2,6,OAK 49,0,7,"Rich Gannon pass complete to Charlie Garner for 11 yards (tackle by Dre' Bly). Penalty on Matt Stinchcomb: Face Mask (15 Yards), 15 yards (no play)",1.920,-0.100
1,5:44,2,21,OAK 34,0,7,"Rich Gannon sacked by Jeff Zgonina for -11 yards. Rich Gannon fumbles (forced by Jeff Zgonina), recovered by Rich Gannon at OAK-23",-0.100,-2.210
1,5:44,3,32,OAK 23,0,7,Rich Gannon pass complete to Terry Kirby for 8 yards (tackle by Adam Archuleta),-2.210,-1.310
1,5:28,4,24,OAK 31,0,7,"Shane Lechler punts 54 yards, returned by Terrence Wilkins for 3 yards (tackle by Travian Smith)",-1.310,-0.040
1,4:40,1,10,STL 18,0,7,Marc Bulger sacked by DeLawrence Grant for -9 yards,0.040,-1.440
1,4:07,2,19,STL 9,0,7,Marshall Faulk middle for 7 yards (tackle by Rod Woodson),-1.440,-1.500
1,3:25,3,12,STL 16,0,7,Marc Bulger pass complete to Torry Holt for 12 yards (tackle by Phillip Buchanon),-1.500,0.810
1,2:34,1,10,STL 28,0,7,Marshall Faulk right end for 8 yards (tackle by Phillip Buchanon),0.810,1.340
1,2:09,2,2,STL 36,0,7,Marshall Faulk right guard for -1 yards (tackle by Eric Barton),1.340,0.500
1,1:26,3,3,STL 35,0,7,Marc Bulger pass complete to Torry Holt for 5 yards (tackle by Trace Armstrong),0.500,1.600
1,0:42,1,10,STL 40,0,7,"Penalty on DeLawrence Grant: Encroachment, 5 yards (no play)",1.600,2.330
1,0:20,1,5,STL 45,0,7,"Marc Bulger sacked by DeLawrence Grant for -8 yards. Penalty on Eric Barton: Illegal Use of Hands, 5 yards (no play)",2.330,2.260
Quarter,Time,Down,ToGo,Location,OAK,STL,Detail,EPB,EPA
