Unnamed: 0,OAK,STL
First Downs,20,19
Rush-Yds-TDs,17-65-0,32-158-1
Cmp-Att-Yd-TD-INT,30-45-332-1-2,14-21-186-3-0
Sacked-Yards,4-30,3-22
Net Pass Yards,302,164
Total Yards,367,322
Fumbles-Lost,4-1,1-1
Turnovers,3,1
Penalties-Yards,14-107,11-82
Third Down Conv.,3-11,4-11
Fourth Down Conv.,0-2,0-0
Time of Possession,28:14,31:46
