Quarter,Time,Tm,Detail,OAK,STL
1.0,7:21,Rams,Isaac Bruce 7 yard pass from Marc Bulger (Jeff Wilkins kick),0,7
2.0,10:32,Rams,Torry Holt 13 yard pass from Marc Bulger (Jeff Wilkins kick),0,14
,5:13,Raiders,Sebastian Janikowski 43 yard field goal,3,14
3.0,7:58,Raiders,Sebastian Janikowski 32 yard field goal,6,14
4.0,13:40,Rams,Marshall Faulk 10 yard pass from Marc Bulger (Jeff Wilkins kick),6,21
,11:15,Rams,Marc Bulger 1 yard rush (Jeff Wilkins kick),6,28
,8:05,Raiders,Terry Kirby 2 yard pass from Rich Gannon (Sebastian Janikowski kick),13,28
