Unnamed: 0,WAS,PIT
First Downs,17,25
Rush-Yds-TDs,21-86-0,27-140-0
Cmp-Att-Yd-TD-INT,16-35-177-1-0,24-33-222-3-0
Sacked-Yards,1-8,1-7
Net Pass Yards,169,215
Total Yards,255,355
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,7-55,3-20
Third Down Conv.,3-12,4-11
Fourth Down Conv.,2-3,1-2
Time of Possession,26:47,33:13
