Quarter,Time,Tm,Detail,NOR,ARI
1.0,9:49,Saints,John Carney 31 yard field goal,3,0
,1:30,Saints,Jeremy Shockey 1 yard pass from Drew Brees (John Carney kick),10,0
2.0,11:15,Cardinals,Jay Feely 37 yard field goal,10,3
,2:19,Cardinals,Levi Brown 2 yard offensive fumble return (Jay Feely kick),10,10
,1:10,Saints,John Carney 32 yard field goal,13,10
3.0,9:04,Cardinals,Jay Feely 44 yard field goal,13,13
4.0,11:39,Cardinals,Jay Feely 29 yard field goal,13,16
,10:39,Cardinals,Kerry Rhodes 27 yard defensive fumble return (Jay Feely kick),13,23
,1:49,Saints,Robert Meachem 35 yard pass from Drew Brees (John Carney kick),20,23
,0:10,Cardinals,Dominique Rodgers-Cromartie 28 yard interception return (Jay Feely kick),20,30
