Unnamed: 0,NOR,ARI
First Downs,19,12
Rush-Yds-TDs,22-85-0,24-41-0
Cmp-Att-Yd-TD-INT,24-39-279-2-3,18-29-174-0-1
Sacked-Yards,1-6,4-21
Net Pass Yards,273,153
Total Yards,358,194
Fumbles-Lost,2-1,4-0
Turnovers,4,1
Penalties-Yards,6-45,3-20
Third Down Conv.,5-11,4-15
Fourth Down Conv.,0-0,1-1
Time of Possession,30:01,29:59
