Unnamed: 0,TAM,CAR
First Downs,10,20
Rush-Yds-TDs,20-66-0,34-163-1
Cmp-Att-Yd-TD-INT,14-21-180-0-1,18-29-263-2-2
Sacked-Yards,5-40,0-0
Net Pass Yards,140,263
Total Yards,206,426
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,4-30,3-25
Third Down Conv.,1-10,5-13
Fourth Down Conv.,0-1,2-2
Time of Possession,25:35,34:25
